is_cause,sentence
0.0,"""It""/PRON,""hypothesized""/VERB,""chicken""/NOUN,""eggshell""/NOUN,""membrane""/NOUN,""EM""/NOUN,""effective""/ADJ,""regeneration""/NOUN,""cartilage""/NOUN,""and""/CCONJ,""/""/SYM,""or""/CCONJ,""immunomodulation""/NOUN,""oral""/ADJ,""tolerance""/NOUN,""relief""/NOUN,""pain""/NOUN,""stiffness""/NOUN,""joint""/NOUN,""commonly""/ADV,""affected""/VERB,""arthritis""/NOUN"
0.0,"""MNDs""/NOUN,""remain""/VERB,""major""/ADJ,""public""/ADJ,""health""/NOUN,""concern""/NOUN,""particularly""/ADV,""woman""/NOUN,""child""/NOUN,""calcium""/NOUN,""iodine""/NOUN,""iron""/NOUN,""selenium""/NOUN,""zinc""/NOUN,""folate""/NOUN,""vitamin""/NOUN,""A""/NOUN,""deficiency""/NOUN,""common""/ADJ"
0.0,"""There""/ADV,""evidence""/NOUN,""adequate""/ADJ,""amount""/NOUN,""folic""/ADJ,""acid""/NOUN,""supply""/NOUN,""woman""/NOUN,""early""/ADJ,""pregnancy""/NOUN,""decrease""/NOUN,""risk""/NOUN,""neural""/ADJ,""tube""/NOUN,""defect""/NOUN,""affected""/VERB,""child""/NOUN"
0.0,"""Sword""/PROPN,""bean""/NOUN,""known""/VERB,""traditional""/ADJ,""medicinal""/ADJ,""plant""/NOUN,""treat""/NOUN,""cancer""/NOUN,""sinus""/NOUN,""infection""/NOUN,""suppurative""/ADJ,""disease""/NOUN"
0.0,"""While""/ADP,""many""/ADJ,""egg""/NOUN,""milk-allergic""/ADJ,""child""/NOUN,""tolerate""/NOUN,""baked""/VERB,""egg""/NOUN,""BE""/NOUN,""milk""/NOUN,""BM""/NOUN,""reaction""/NOUN,""elicited""/VERB,""oral""/ADJ,""food""/NOUN,""challenge""/NOUN,""OFCs""/PROPN,""severe""/ADJ"
1.0,"""Excessive""/ADJ,""consumption""/NOUN,""red""/ADJ,""meat""/NOUN,""associated""/VERB,""various""/ADJ,""disease""/NOUN,""including""/VERB,""coronary""/ADJ,""heart""/NOUN,""disease""/NOUN,""cancer""/NOUN"
0.0,"""Having""/VERB,""least""/ADV,""three""/NUM,""serving""/VERB,""vegetable""/NOUN,""two""/NUM,""serving""/VERB,""fruit""/NOUN,""day""/NOUN,""could""/AUX,""help""/VERB,""prevent""/VERB,""dementia""/NOUN,""older""/ADJ,""adult""/NOUN,""new""/ADJ,""research""/NOUN,""suggests""/VERB"
1.0,"""Milk""/NOUN,""dairy""/NOUN,""product""/NOUN,""containing""/VERB,""milk""/NOUN,""fat""/NOUN,""major""/ADJ,""food""/NOUN,""source""/NOUN,""saturated""/VERB,""fatty""/ADJ,""acid""/NOUN,""linked""/VERB,""increased""/VERB,""risk""/NOUN,""cardiovascular-related""/ADJ,""clinical""/ADJ,""outcome""/NOUN,""cardiovascular""/ADJ,""disease""/NOUN,""CVD""/NOUN,""coronary""/ADJ,""heart""/NOUN,""disease""/NOUN,""CHD""/NOUN,""stroke""/NOUN"
0.0,"""Over""/ADP,""one""/NUM,""thousand""/NUM,""cultivar""/NOUN,""Punica""/PROPN,""granatum""/NOUN,""Punicaceae""/PROPN,""known""/VERB,""traditionally""/ADV,""used""/VERB,""treat""/VERB,""various""/ADJ,""ailment""/NOUN"
0.0,"""Further""/ADJ,""waste""/NOUN,""product""/NOUN,""tropical""/ADJ,""fruit""/NOUN,""including""/VERB,""mangosteen""/NOUN,""rind""/NOUN,""coffee""/NOUN,""pulp""/NOUN,""spent""/VERB,""coffee""/NOUN,""ground""/NOUN,""provide""/VERB,""option""/NOUN,""reduce""/VERB,""metabolic""/ADJ,""syndrome""/NOUN"
0.0,"""Fruit""/NOUN,""vegetable""/NOUN,""consumption""/NOUN,""inversely""/ADV,""related""/VERB,""bladder""/NOUN,""cancer""/NOUN,""many""/ADJ,""study""/NOUN,""consistent""/ADJ,""association""/NOUN,""emerged""/VERB,""intake""/NOUN,""related""/VERB,""micronutrient""/NOUN,""reduced""/VERB,""risk""/NOUN,""bladder""/NOUN,""cancer""/NOUN"
0.0,"""Glycine""/NOUN,""max""/NOUN,""commonly""/ADV,""used""/VERB,""Algeria""/PROPN,""treatment""/NOUN,""anemia""/NOUN,""deficiency""/NOUN,""osteoporosis""/NOUN,""rank""/VERB,""first""/ADJ,""term""/NOUN,""vegetal""/NOUN,""protein""/NOUN"
0.0,"""Nutritional""/ADJ,""supplementation""/NOUN,""fish""/NOUN,""oil""/NOUN,""omega-3""/NOUN,""n-3""/NOUN,""polyunsaturated""/ADJ,""fatty""/NOUN,""acid""/NOUN,""PUFAs""/NOUN,""potential""/ADJ,""benefit""/NOUN,""skin""/NOUN,""inflammation""/NOUN"
0.0,"""Milk""/NOUN,""milk""/NOUN,""product""/NOUN,""prevent""/VERB,""bone""/NOUN,""loss""/NOUN,""pre""/ADJ,""-""/PUNCT,""postmenopausal""/ADJ,""woman""/NOUN"
0.0,"""Three""/NUM,""recent""/ADJ,""meta-analyses""/NOUN,""found""/VERB,""significant""/ADJ,""prospective""/ADJ,""inverse""/ADJ,""association""/NOUN,""chocolate""/NOUN,""intake""/NOUN,""cardiovascular""/ADJ,""disease""/NOUN,""risk""/NOUN"
0.0,"""Since""/ADP,""excessive""/ADJ,""sugar""/NOUN,""consumption""/NOUN,""related""/VERB,""development""/NOUN,""chronic""/ADJ,""metabolic""/ADJ,""disease""/NOUN,""prevalent""/ADJ,""western""/ADJ,""world""/NOUN,""use""/NOUN,""sweetener""/NOUN,""gradually""/ADV,""increased""/VERB,""worldwide""/ADV,""last""/ADJ,""year""/NOUN"
0.0,"""Moreover""/ADV,""substantial""/ADJ,""experimental""/ADJ,""study""/NOUN,""supported""/VERB,""protective""/ADJ,""role""/NOUN,""fruit""/NOUN,""CVDs""/NOUN,""several""/ADJ,""fruit""/NOUN,""grape""/NOUN,""blueberry""/NOUN,""pomegranate""/NOUN,""apple""/NOUN,""hawthorn""/NOUN,""avocado""/NOUN,""widely""/ADV,""studied""/VERB,""shown""/VERB,""potent""/ADJ,""cardiovascular""/ADJ,""protective""/ADJ,""action""/NOUN"
0.0,"""The""/DET,""result""/NOUN,""I.""/NOUN,""paraguariensis""/NOUN,""infusion""/NOUN,""made""/VERB,""65""/NUM,""°""/NUM,""C""/NOUN,""75""/NUM,""°""/NOUN,""C""/NOUN,""show""/VERB,""significant""/ADJ,""difference""/NOUN,""temperature""/NOUN,""preparing""/VERB,""tea""/NOUN,""infusion""/NOUN,""relation""/NOUN,""presence""/NOUN,""Al""/PROPN,""methylxanthines""/PROPN,""phenolic""/ADJ,""compound""/NOUN,""flavonoid""/NOUN"
0.0,"""In""/ADP,""subchronic""/ADJ,""oral""/ADJ,""toxicity""/NOUN,""data""/NOUN,""revealed""/VERB,""several""/ADJ,""significant""/ADJ,""alteration""/NOUN,""food""/NOUN,""consumption""/NOUN,""water""/NOUN,""consumption""/NOUN,""protein""/NOUN,""excretion""/NOUN,""WBCs""/NOUN,""level""/NOUN,""TGs""/NOUN,""BUN""/NOUN,""level""/NOUN,""absolute""/ADJ,""relative""/ADJ,""weight""/NOUN,""liver""/NOUN,""spleen""/NOUN,""lung""/NOUN"
1.0,"""including""/VERB,""garlic""/NOUN,""A.""/NOUN,""sativum""/NOUN,""onion""/NOUN,""A.""/NOUN,""cepa""/NOUN,""known""/VERB,""oxidatively""/ADV,""toxic""/ADJ,""canine""/NOUN,""erythrocyte""/NOUN,""resulting""/VERB,""Heinz""/PROPN,""body""/NOUN,""hemolytic""/ADJ,""anemia""/NOUN,""dog""/NOUN"
1.0,"""We""/PRON,""observed""/VERB,""significant""/ADJ,""positive""/ADJ,""association""/NOUN,""le""/X,""healthy""/ADJ,""diet""/NOUN,""expressed""/VERB,""higher""/ADJ,""FSAm-NPS""/PROPN,""DI""/PROPN,""asthma""/NOUN,""symptom""/NOUN,""score""/NOUN"
0.0,"""Allium""/NOUN,""vegetable""/NOUN,""shown""/VERB,""beneficial""/ADJ,""effect""/NOUN,""several""/ADJ,""disease""/NOUN,""including""/VERB,""cancer""/NOUN"
0.0,"""Although""/ADP,""breast""/NOUN,""milk""/NOUN,""considered""/VERB,""major""/ADJ,""source""/NOUN,""transmission""/NOUN,""transfusion-transmitted""/VERB,""CMV""/PROPN,""TT-CMV""/PROPN,""infection""/NOUN,""often""/ADV,""suspected""/VERB,""CMV""/PROPN,""disease""/NOUN,""develops""/VERB,""transfusion""/NOUN"
0.0,"""Ginger""/NOUN,""widely""/ADV,""used""/VERB,""dietary""/ADJ,""condiment""/NOUN,""reported""/VERB,""improve""/VERB,""memory""/NOUN,""dysfunction""/NOUN,""animal""/NOUN,""model""/NOUN,""Alzheimer""/PROPN,""disease""/NOUN,""AD""/NOUN"
1.0,"""Current""/ADJ,""dietary""/ADJ,""guideline""/NOUN,""recommend""/VERB,""patient""/NOUN,""chronic""/ADJ,""kidney""/NOUN,""disease""/NOUN,""CKD""/NOUN,""restrict""/VERB,""individual""/ADJ,""nutrient""/NOUN,""sodium""/NOUN,""potassium""/NOUN,""phosphorus""/NOUN,""protein""/NOUN"
0.0,"""Prevention""/NOUN,""diabetes""/NOUN,""diet""/NOUN,""recently""/ADV,""received""/VERB,""increasing""/VERB,""interest""/NOUN,""polyphenolic""/ADJ,""compound""/NOUN,""flavanols""/NOUN,""become""/VERB,""important""/ADJ,""potential""/ADJ,""chemopreventive""/ADJ,""natural""/ADJ,""agent""/NOUN,""due""/ADJ,""proved""/VERB,""benefit""/NOUN,""health""/NOUN,""low""/ADJ,""toxicity""/NOUN,""cost""/NOUN"
0.0,"""Infectious""/ADJ,""bronchitis""/NOUN,""one""/NUM,""common""/ADJ,""disease""/NOUN,""poultry""/NOUN,""industry""/NOUN,""many""/ADJ,""country""/NOUN,""especially""/ADV,""region""/NOUN,""dense""/ADJ,""poultry""/NOUN,""farming""/NOUN,""industry""/NOUN"
0.0,"""Iron-fortified""/ADJ,""cereal""/NOUN,""IFIC""/PROPN,""contribute""/VERB,""substantially""/ADV,""preventing""/VERB,""iron""/NOUN,""deficiency""/NOUN,""anemia""/NOUN,""maintaining""/VERB,""adequate""/ADJ,""body""/NOUN,""iron""/NOUN,""status""/NOUN"
0.0,"""Iron-deficiency""/ADJ,""anemia""/NOUN,""IDA""/PROPN,""major""/ADJ,""global""/ADJ,""public""/ADJ,""health""/NOUN,""problem""/NOUN,""iron""/NOUN,""fortifiers""/NOUN,""diet""/NOUN,""clearly""/ADV,""needed""/VERB,""prevention""/NOUN,""improvement""/NOUN,""IDA""/PROPN,""human""/ADJ"
0.0,"""Capsinoids""/NOUN,""nonpungent""/ADJ,""chili""/NOUN,""pepper""/NOUN,""cultivar""/NOUN,""reported""/VERB,""reduce""/VERB,""body""/NOUN,""fat""/NOUN,""mass""/NOUN,""promote""/VERB,""metabolism""/NOUN,""improve""/VERB,""unidentified""/ADJ,""complaint""/NOUN,""chill""/NOUN"
0.0,"""Risk""/NOUN,""factor""/NOUN,""include""/VERB,""male""/ADJ,""sex""/NOUN,""obesity""/NOUN,""hypertension""/NOUN,""alcohol""/NOUN,""intake""/NOUN,""diuretic""/ADJ,""use""/NOUN,""diet""/NOUN,""rich""/ADJ,""meat""/NOUN,""seafood""/NOUN,""chronic""/ADJ,""kidney""/NOUN,""disease""/NOUN,""diet""/NOUN,""heavy""/ADJ,""fructose-rich""/ADJ,""food""/NOUN,""beverage""/NOUN,""member""/NOUN,""certain""/ADJ,""ethnic""/ADJ,""group""/NOUN,""including""/VERB,""Taiwanese""/ADJ,""Pacific""/PROPN,""Islander""/PROPN,""New""/PROPN,""Zealand""/PROPN,""Maori""/PROPN,""living""/VERB,""high-income""/ADJ,""country""/NOUN"
1.0,"""Allergen""/NOUN,""Glb33""/NOUN,""important""/ADJ,""allergen""/NOUN,""rice""/NOUN,""cause""/VERB,""allergic""/ADJ,""reaction""/NOUN,""asthma""/NOUN,""atopic""/ADJ,""dermatitis""/NOUN"
1.0,"""Out""/ADV,""314""/NUM,""subject""/NOUN,""tested""/VERB,""22""/NUM,""7""/NUM,""respiratory""/ADJ,""allergy""/NOUN,""flour""/NOUN,""flour""/NOUN,""rhinitis""/NOUN,""and""/CCONJ,""/""/SYM,""or""/CCONJ,""flour""/NOUN,""asthma""/NOUN,""21""/NUM,""6.7""/NUM,""preexistent""/ADJ,""atopic""/ADJ,""disease""/NOUN,""without""/ADP,""actual""/ADJ,""symptom""/NOUN,""flour""/NOUN,""allergy""/NOUN"
1.0,"""For""/ADP,""decade""/NOUN,""occupational""/ADJ,""exposure""/NOUN,""flour""/NOUN,""dust""/NOUN,""linked""/VERB,""range""/NOUN,""respiratory""/ADJ,""disease""/NOUN,""including""/VERB,""occupational""/ADJ,""asthma""/NOUN,""thought""/VERB,""result""/NOUN,""exposure""/NOUN,""fungi""/NOUN,""present""/ADJ,""flour""/NOUN"
0.0,"""In""/ADP,""35""/NUM,""flock""/NOUN,""comprising""/VERB,""almost""/ADV,""100,000""/NUM,""White""/PROPN,""Plymouth""/PROPN,""Rock""/PROPN,""bird""/NOUN,""producing""/VERB,""hatching""/NOUN,""egg""/NOUN,""infectious""/ADJ,""bronchitis""/NOUN,""IB""/NOUN,""caused""/VERB,""decline""/NOUN,""production""/NOUN,""appeared""/VERB,""connected""/VERB,""age""/NOUN,""bird""/NOUN,""outbreak""/NOUN,""started""/VERB,""table""/NOUN,""I""/PRON"
0.0,"""Because""/ADP,""Magonlia""/PROPN,""Flos""/PROPN,""described""/VERB,""aromatic""/ADJ,""material""/NOUN,""ancient""/ADJ,""Chinese""/ADJ,""text""/NOUN,""hypothesized""/VERB,""essential""/ADJ,""oil""/NOUN,""may""/AUX,""used""/VERB,""treat""/NOUN,""immune""/ADJ,""disorder""/NOUN"
1.0,"""The""/DET,""Mediterranean""/ADJ,""diet""/NOUN,""MD""/NOUN,""affect""/VERB,""risk""/NOUN,""myocardial""/ADJ,""infarction""/NOUN,""long-term""/ADJ,""prognosis""/NOUN,""coronary""/ADJ,""event""/NOUN"
0.0,"""The""/DET,""leaf""/NOUN,""fruit""/NOUN,""Rhus""/PROPN,""coriaria""/PROPN,""traditionally""/ADV,""used""/VERB,""Turkey""/PROPN,""treatment""/NOUN,""diabetes""/NOUN"
0.0,"""Epidemeological""/ADJ,""well""/NOUN,""laboratory""/NOUN,""study""/NOUN,""shown""/VERB,""garlic""/NOUN,""consumption""/NOUN,""reduces""/VERB,""certain""/ADJ,""cancer""/NOUN,""incidence""/NOUN,""stomach""/NOUN,""colon""/NOUN,""mammary""/NOUN,""cervical""/ADJ,""etc""/NOUN"
0.0,"""However""/ADV,""milk""/NOUN,""food""/NOUN,""high""/ADJ,""nutritional""/ADJ,""value""/NOUN,""complete""/ADJ,""exclusion""/NOUN,""dairy""/NOUN,""product""/NOUN,""may""/AUX,""favor""/VERB,""development""/NOUN,""bone""/NOUN,""disease""/NOUN,""osteopenia""/NOUN,""osteoporosis""/NOUN"
1.0,"""However""/ADV,""liquid""/ADJ,""UPF""/PROPN,""processed""/VERB,""meat""/NOUN,""associated""/VERB,""increased""/VERB,""rate""/NOUN,""hypertension""/NOUN,""IRR""/NOUN,""1.32""/NUM,""95""/NUM,""CI""/NOUN,"":""/PUNCT,""1.10,1.65""/NUM,""IRR""/NOUN,""1.17""/NUM,""95""/NUM,""CI""/NOUN,"":""/PUNCT,""1.01,1.36""/NUM,""respectively""/ADV"
0.0,"""Taraxacum""/PROPN,""officinale""/PROPN,""L.""/PROPN,""commonly""/ADV,""called""/VERB,""dandelion""/NOUN,""used""/VERB,""century""/NOUN,""natural""/ADJ,""medicine""/NOUN,""treat""/VERB,""inflammatory""/ADJ,""disease""/NOUN,""including""/VERB,""metabolic""/ADJ,""alteration""/NOUN,""associated""/VERB,""obesity""/NOUN"
0.0,"""A""/DET,""high""/ADJ,""educational""/ADJ,""level""/NOUN,""vegetable-based""/ADJ,""diet""/NOUN,""tea""/NOUN,""protective""/ADJ,""factor""/NOUN,""VD""/NOUN"
0.0,"""Drinking""/VERB,""coffee""/NOUN,""raise""/VERB,""public""/ADJ,""health""/NOUN,""problem""/NOUN,""association""/NOUN,""coffee""/NOUN,""kidney""/NOUN,""disease""/NOUN,""unknown""/ADJ"
0.0,"""Diallyl""/NOUN,""disulfide""/NOUN,""DADS""/PROPN,""major""/ADJ,""organosulphur""/NOUN,""compound""/NOUN,""present""/ADJ,""garlic""/NOUN,""anti-mitotic""/ADJ,""potential""/ADJ,""colon""/NOUN,""neoplastic""/ADJ,""lesion""/NOUN,""vivo""/NOUN,""colon""/NOUN,""tumour""/NOUN,""cell""/NOUN,""growth""/NOUN,""vitro""/NOUN"
1.0,"""Diets""/NOUN,""characterized""/VERB,""high""/ADJ,""intake""/NOUN,""refined""/VERB,""sugar""/NOUN,""salt""/NOUN,""animal-derived""/ADJ,""protein""/NOUN,""fat""/NOUN,""low""/ADJ,""intake""/NOUN,""fruit""/NOUN,""vegetable""/NOUN,""associated""/VERB,""higher""/ADJ,""risk""/NOUN,""AD""/NOUN,""perturb""/NOUN,""circadian""/ADJ,""modulation""/NOUN,""cortisol""/NOUN,""secretion""/NOUN,""associated""/VERB,""poor""/ADJ,""sleep""/NOUN,""quality""/NOUN"
0.0,"""Natural""/ADJ,""antioxidant""/ADJ,""food""/NOUN,""source""/NOUN,""natural""/ADJ,""product""/NOUN,""resveratrol""/NOUN,""curcumin""/NOUN,""green""/ADJ,""tea""/NOUN,""polyphenols""/NOUN,""vitamin""/NOUN,""E""/NOUN,""promising""/VERB,""therapeutic""/ADJ,""agent""/NOUN,""oxidative""/ADJ,""stress-mediated""/ADJ,""neurodegenerative""/ADJ,""disease""/NOUN,""fewer""/ADJ,""adverse""/ADJ,""effect""/NOUN,""tolerable""/ADJ,""cheaper""/ADJ,""sustainable""/ADJ,""long""/ADJ,""term""/NOUN,""consumption""/NOUN"
0.0,"""PRV-1""/NOUN,""cause""/VERB,""heart""/NOUN,""skeletal""/ADJ,""muscle""/NOUN,""inflammation""/NOUN,""HSMI""/PROPN,""Atlantic""/PROPN,""salmon""/NOUN,""Salmo""/PROPN,""salar""/NOUN,""associated""/VERB,""jaundice""/NOUN,""syndrome""/NOUN,""farmed""/VERB,""chinook""/NOUN,""salmon""/NOUN,""Oncorhynchus""/PROPN,""tshawytscha""/PROPN"
0.0,"""Salvia""/PROPN,""officinalis""/PROPN,""L.""/PROPN,""sage""/NOUN,""medicinal""/ADJ,""plant""/NOUN,""used""/VERB,""ingredient""/NOUN,""food""/NOUN,""beverage""/NOUN,""display""/NOUN,""wide""/ADJ,""range""/NOUN,""biological""/ADJ,""pharmacological""/ADJ,""activity""/NOUN,""including""/VERB,""anti-diabetic""/ADJ,""effect""/NOUN"
0.0,"""Iron-deficiency""/ADJ,""anemia""/NOUN,""important""/ADJ,""health""/NOUN,""problem""/NOUN,""global""/ADJ,""public""/ADJ,""issue""/NOUN,""development""/NOUN,""iron""/NOUN,""fortifiers""/NOUN,""diet""/NOUN,""essential""/ADJ,""decrease""/NOUN,""iron""/NOUN,""deficiency""/NOUN"
0.0,"""Spirulina""/PROPN,""platensis""/NOUN,""extract""/NOUN,""exhibited""/VERB,""considerable""/ADJ,""anti-cancer""/ADJ,""effect""/NOUN"
0.0,"""Epidemiological""/ADJ,""study""/NOUN,""compellingly""/ADV,""documented""/VERB,""ability""/NOUN,""Mediterranean""/ADJ,""diet""/NOUN,""rich""/ADJ,""extra-virgin""/ADJ,""olive""/NOUN,""oil""/NOUN,""reduce""/VERB,""incidence""/NOUN,""certain""/ADJ,""malignancy""/NOUN,""cardiovascular""/ADJ,""disease""/NOUN,""slow""/ADJ,""Alzheimer""/PROPN,""disease""/NOUN,""progression""/NOUN"
0.0,"""Evidence""/NOUN,""suggests""/VERB,""consuming""/VERB,""light-to-moderate""/ADJ,""amount""/NOUN,""alcohol""/NOUN,""reduces""/VERB,""risk""/NOUN,""dementia""/NOUN,""associated""/VERB,""better""/ADJ,""cognitive""/ADJ,""function""/NOUN,""le""/X,""cardiovascular""/ADJ,""disease""/NOUN,""relative""/NOUN,""consuming""/VERB,""heavy""/ADJ,""alcohol""/NOUN"
0.0,"""Numerous""/ADJ,""author""/NOUN,""provided""/VERB,""evidence""/NOUN,""regarding""/VERB,""beneficial""/ADJ,""effect""/NOUN,""phenolic""/ADJ,""acid""/NOUN,""derivative""/ADJ,""Alzheimer""/PROPN,""disease""/NOUN,""AD""/NOUN"
1.0,"""Processed""/VERB,""ultra-processed""/ADJ,""food""/NOUN,""UPF""/PROPN,""consumption""/NOUN,""associated""/VERB,""development""/NOUN,""noncommunicable""/ADJ,""chronic""/ADJ,""disease""/NOUN,""NCD""/PROPN"
0.0,"""No""/DET,""correlation""/NOUN,""found""/VERB,""occurrence""/NOUN,""stone""/NOUN,""positive""/ADJ,""test""/NOUN,""ELISA""/PROPN,""IBV""/PROPN,""infectious""/ADJ,""bronchitis""/NOUN,""virus""/NOUN,""number""/NOUN,""stone""/NOUN,""calcium""/NOUN,""concentration""/NOUN,""water""/NOUN,""food""/NOUN,""indicating""/VERB,""IBV""/PROPN,""infection""/NOUN,""calcium""/NOUN,""diet""/NOUN,""related""/VERB,""stone""/NOUN,""formation""/NOUN"
0.0,"""Infectious""/ADJ,""bronchitis""/NOUN,""IB""/NOUN,""affect""/VERB,""chicken""/NOUN,""age""/NOUN,""pose""/VERB,""major""/ADJ,""economic""/ADJ,""loses""/NOUN,""poultry""/NOUN,""industry""/NOUN,""worldwide""/ADV"
0.0,"""Use""/VERB,""Labiatae""/PROPN,""food""/NOUN,""food""/NOUN,""additive""/NOUN,""spice""/NOUN,""may""/AUX,""prevent""/VERB,""risk""/NOUN,""cardiovascular""/ADJ,""disease""/NOUN,""diabetes""/NOUN,""cancer""/NOUN"
1.0,"""Regular""/ADJ,""intake""/NOUN,""food""/NOUN,""rich""/ADJ,""saturated""/ADJ,""fat""/NOUN,""meat""/NOUN,""certain""/ADJ,""dairy""/NOUN,""product""/NOUN,""raise""/VERB,""risk""/NOUN,""coronary""/ADJ,""heart""/NOUN,""disease""/NOUN,""especially""/ADV,""smoker""/NOUN"
1.0,"""It""/PRON,""suggested""/VERB,""recurrent""/ADJ,""inhalation""/NOUN,""milk""/NOUN,""food""/NOUN,""consequent""/ADJ,""upon""/ADP,""disordered""/ADJ,""oesophageal""/ADJ,""motility""/NOUN,""major""/ADJ,""factor""/NOUN,""causing""/VERB,""respiratory""/ADJ,""complication""/NOUN"
0.0,"""Docosahexaenoic""/NOUN,""acid""/NOUN,""DHA""/NOUN,""fatty""/NOUN,""acid""/NOUN,""abundant""/ADJ,""brain""/NOUN,""reported""/VERB,""protective""/ADJ,""effect""/NOUN,""Alzheimer""/PROPN,""disease""/NOUN,""although""/ADP,""mechanistic""/ADJ,""effect""/NOUN,""DHA""/PROPN,""Alzheimer""/PROPN,""pathophysiology""/NOUN,""remain""/VERB,""unclear""/ADJ"
0.0,"""Cynara""/PROPN,""scolymus""/PROPN,""L.""/PROPN,""common""/ADJ,""artichoke""/NOUN,""product""/NOUN,""considered""/VERB,""potential""/ADJ,""phytotherapeutic""/ADJ,""agent""/NOUN,""various""/ADJ,""condition""/NOUN,""cardiovascular""/ADJ,""hepatic""/ADJ,""gastric""/ADJ,""disease""/NOUN,""among""/ADP,""others""/NOUN"
0.0,"""Milk""/NOUN,""consumption""/NOUN,""accepted""/VERB,""strategy""/NOUN,""building""/VERB,""peak""/NOUN,""bone""/NOUN,""mass""/NOUN,""therefore""/ADV,""may""/AUX,""reduce""/VERB,""risk""/NOUN,""osteoporosis""/NOUN"
0.0,"""The""/DET,""present""/ADJ,""study""/NOUN,""first""/ADJ,""demonstration""/NOUN,""association""/NOUN,""genetic""/ADJ,""serum""/NOUN,""Mannan-binding""/NOUN,""lectin""/NOUN,""MBL""/PROPN,""concentration""/NOUN,""bacterial""/ADJ,""infection""/NOUN,""chicken""/NOUN"
0.0,"""A""/DET,""Mediterranean""/ADJ,""diet""/NOUN,""supplemented""/VERB,""olive""/NOUN,""oil""/NOUN,""nut""/NOUN,""prevents""/VERB,""cardiovascular""/ADJ,""disease""/NOUN,""clinical""/ADJ,""study""/NOUN,""underlying""/VERB,""mechanism""/NOUN,""incompletely""/ADV,""understood""/VERB"
0.0,"""The""/DET,""association""/NOUN,""egg""/NOUN,""consumption""/NOUN,""diabetes""/NOUN,""inconclusive""/ADJ"
