,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
21,21,glycine max,anemia deficiency,"glycine max is commonly used in algeria for treatment of anemia deficiency and osteoporosis, it ranks first",,0.0,1.0,"glycine max is commonly used in algeria for treatment of anemia deficiency and osteoporosis, it ranks first"
22,22,fish oil,skin inflammation,nutritional supplementation with fish oil or omega-3 (n-3) polyunsaturated fatty acids (pufas) has potential benefits for skin inflammation,DOID:2723,0.0,1.0,nutritional supplementation with fish oil or omega-3 (n-3) polyunsaturated fatty acids (pufas) has potential benefits for skin inflammation
23,23,milk,bone loss,milk and milk products prevent the bone loss in pre- and postmenopausal women,,0.0,1.0,milk and milk products prevent the bone loss in pre- and postmenopausal women
24,24,chocolate,cardiovascular disease,prospective inverse associations between chocolate intake and cardiovascular disease risk,,0.0,1.0,prospective inverse associations between chocolate intake and cardiovascular disease risk
25,25,excessive sugar consumption,metabolic diseases,since excessive sugar consumption has been related to the development of chronic metabolic diseases prevalent in the western world,DOID:0014667,0.0,1.0,since excessive sugar consumption has been related to the development of chronic metabolic diseases prevalent in the western world
26,26,blueberry,cvds,"role of fruits against cvds, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado",,0.0,1.0,"role of fruits against cvds, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado"
27,27,tea infusion,paraguariensis,results of the i. paraguariensis infusions made at 65°c and at 75° c show that there was no significant difference between both temperatures when preparing the tea infusion in relation to the presence,,0.0,0.0,results of the i. paraguariensis infusions made at 65°c and at 75° c show that there was no significant difference between both temperatures when preparing the tea infusion in relation to the presence
28,28,significant alteration in food consumption,subchronic oral toxicity,"in the subchronic oral toxicity, data revealed that several significant alteration in food consumption, water consumption, protein excretion, wbcs",,0.0,0.0,"in the subchronic oral toxicity, data revealed that several significant alteration in food consumption, water consumption, protein excretion, wbcs"
29,29,garlic,heinz body hemolytic anemia,"including garlic (a. sativum) and onions (a. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in heinz body hemolytic anemia in dogs",DOID:583,1.0,0.0,"including garlic (a. sativum) and onions (a. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in heinz body hemolytic anemia in dogs"
30,30,less healthy diet,asthma,"significant positive association between less healthy diet, as expressed by higher fsam-nps di, and the asthma symptom score",DOID:2841,1.0,0.0,"significant positive association between less healthy diet, as expressed by higher fsam-nps di, and the asthma symptom score"
31,31,allium,cancer,"allium vegetables have been shown to have beneficial effects against several diseases, including cancer",,0.0,1.0,"allium vegetables have been shown to have beneficial effects against several diseases, including cancer"
32,32,breast milk,transfusion-transmitted cmv (tt-cmv) infection,"although breast milk is considered a major source of transmission, transfusion-transmitted cmv (tt-cmv) infection is often suspected when cmv",,0.0,0.0,"although breast milk is considered a major source of transmission, transfusion-transmitted cmv (tt-cmv) infection is often suspected when cmv"
33,33,ginger,memory dysfunction,"ginger, which has been widely used for dietary condiment, has been reported to improve memory dysfunction in an animal model of",,0.0,1.0,"ginger, which has been widely used for dietary condiment, has been reported to improve memory dysfunction in an animal model of"
34,34,sodium,chronic kidney disease,"recommend that patients with chronic kidney disease (ckd) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein",DOID:784,1.0,0.0,"recommend that patients with chronic kidney disease (ckd) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein"
35,35,diet,diabetes,prevention of diabetes through the diet has recently received an increasing,DOID:9351,0.0,1.0,prevention of diabetes through the diet has recently received an increasing
36,36,poultry,bronchitis,"infectious bronchitis is one of the most common diseases in the poultry industry in many countries, especially in the regions with a dense poultry farming industry",DOID:6132,0.0,0.0,"infectious bronchitis is one of the most common diseases in the poultry industry in many countries, especially in the regions with a dense poultry farming industry"
37,37,iron-fortified cereals,iron deficiency anemia,iron-fortified cereals (ific) can contribute substantially in preventing iron deficiency anemia and maintaining an adequate body,DOID:2355,0.0,1.0,iron-fortified cereals (ific) can contribute substantially in preventing iron deficiency anemia and maintaining an adequate body
38,38,iron fortifiers,iron-deficiency anemia,"iron-deficiency anemia (ida) is a major global public health problem, and the iron fortifiers in diet are clearly needed",DOID:11758,0.0,1.0,"iron-deficiency anemia (ida) is a major global public health problem, and the iron fortifiers in diet are clearly needed"
39,39,capsinoids from nonpungent chili pepper,chills,"capsinoids from nonpungent chili pepper cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of chills",,0.0,1.0,"capsinoids from nonpungent chili pepper cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of chills"
40,40,fructose-rich food and beverages,obesity,factors include male sex; obesity; hypertension; alcohol intake; diuretic use; a diet rich in meat and seafood; chronic kidney disease; a diet heavy in fructose-rich food and beverages; being a member of certain,DOID:9970,0.0,0.0,factors include male sex; obesity; hypertension; alcohol intake; diuretic use; a diet rich in meat and seafood; chronic kidney disease; a diet heavy in fructose-rich food and beverages; being a member of certain
41,41,rice,allergic reactions,an important allergen in rice that can cause allergic reactions such as asthma and atopic,,1.0,0.0,an important allergen in rice that can cause allergic reactions such as asthma and atopic
42,42,flour,respiratory allergy,"subjects tested, (7%) had a respiratory allergy against flour (flour rhinitis and/or flour asthma), and (6.7%) a preexistent atopic disease without actual symptoms of flour allergy",DOID:0060496,1.0,0.0,"subjects tested, (7%) had a respiratory allergy against flour (flour rhinitis and/or flour asthma), and (6.7%) a preexistent atopic disease without actual symptoms of flour allergy"
43,43,flour dust,respiratory diseases,"decades, occupational exposure to flour dust has been linked to a range of respiratory diseases, including occupational asthma, thought to",,1.0,0.0,"decades, occupational exposure to flour dust has been linked to a range of respiratory diseases, including occupational asthma, thought to"
44,44,eggs,infectious bronchitis,"rock birds producing hatching eggs, infectious bronchitis (ib) caused a decline in",,0.0,0.0,"rock birds producing hatching eggs, infectious bronchitis (ib) caused a decline in"
45,45,essential oil,immune disorders,we hypothesized that its essential oil may be used to treat immune disorders,,0.0,1.0,we hypothesized that its essential oil may be used to treat immune disorders
46,46,mediterranean diet,myocardial infarction,the mediterranean diet (md) affects the risk of myocardial infarction and long-term prognosis after a,DOID:5844,1.0,0.0,the mediterranean diet (md) affects the risk of myocardial infarction and long-term prognosis after a
47,47,leaves and fruits of rhus coriaria,diabetes,the leaves and fruits of rhus coriaria are traditionally used in turkey for the treatment of diabetes,DOID:9351,0.0,1.0,the leaves and fruits of rhus coriaria are traditionally used in turkey for the treatment of diabetes
48,48,garlic consumption,cancer,"studies have shown that garlic consumption reduces certain cancer incidences in the stomach, colon",,0.0,1.0,"studies have shown that garlic consumption reduces certain cancer incidences in the stomach, colon"
49,49,dairy products,bone diseases,and complete exclusion of dairy products may favor the development of bone diseases such as osteopenia and osteoporosis,DOID:0080001,0.0,1.0,and complete exclusion of dairy products may favor the development of bone diseases such as osteopenia and osteoporosis
50,50,processed meats,hypertension,"however, liquid upf and processed meats were associated with increased rate of hypertension (irr: 1.32; 95%ci:1.10,1.65; irr: 1.17; 95%ci:1.01,1.36; respectively",DOID:10763,1.0,0.0,"however, liquid upf and processed meats were associated with increased rate of hypertension (irr: 1.32; 95%ci:1.10,1.65; irr: 1.17; 95%ci:1.01,1.36; respectively"
51,51,taraxacum officinale,inflammatory diseases,"taraxacum officinale (l.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated",,0.0,1.0,"taraxacum officinale (l.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated"
52,52,tea,vd,"a vegetable-based diet, and tea were protective factors for vd",,0.0,1.0,"a vegetable-based diet, and tea were protective factors for vd"
53,53,coffee,kidney disease,"drinking coffee can raise public health problems, but the association between coffee and kidney disease is unknown",DOID:557,0.0,0.0,"drinking coffee can raise public health problems, but the association between coffee and kidney disease is unknown"
54,54,garlic,colon neoplastic lesions,organosulphur compound present in garlic with an anti-mitotic potential against colon neoplastic lesions in vivo and colon tumour,,0.0,1.0,organosulphur compound present in garlic with an anti-mitotic potential against colon neoplastic lesions in vivo and colon tumour
55,55,salt,ad,"intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of ad and can perturb the circad",,1.0,0.0,"intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of ad and can perturb the circad"
56,56,green tea,neurodegenerative disease,"such as resveratrol, curcumin, green tea polyphenols, and vitamin e are promising therapeutic agents in oxidative stress-mediated neurodegenerative disease as they have fewer adverse",DOID:1289,0.0,1.0,"such as resveratrol, curcumin, green tea polyphenols, and vitamin e are promising therapeutic agents in oxidative stress-mediated neurodegenerative disease as they have fewer adverse"
57,57,oncorhynchus tshawytscha,heart and skeletal muscle inflammation,prv-1 causes heart and skeletal muscle inflammation (hsmi) in atlantic salmon (salmo salar) and is associated with jaundice syndrome in farmed chinook salmon (oncorhynchus tshawytscha,,0.0,0.0,prv-1 causes heart and skeletal muscle inflammation (hsmi) in atlantic salmon (salmo salar) and is associated with jaundice syndrome in farmed chinook salmon (oncorhynchus tshawytscha
58,58,sage,diabetic,salvia officinalis l. (sage) is a medicinal plant used as an ingredient in foods and beverages and displays a wide range of biological and pharmacological activities including anti-diabetic effects,,0.0,1.0,salvia officinalis l. (sage) is a medicinal plant used as an ingredient in foods and beverages and displays a wide range of biological and pharmacological activities including anti-diabetic effects
59,59,iron fortifiers in diets,iron-deficiency anemia,"iron-deficiency anemia is an important health problem in global public issues, and development of iron fortifiers in diets is essential for the decrease",DOID:11758,0.0,1.0,"iron-deficiency anemia is an important health problem in global public issues, and development of iron fortifiers in diets is essential for the decrease"
60,60,spirulina platensis extracts,cancer,spirulina platensis extracts have exhibited considerable anti-cancer effects,,0.0,1.0,spirulina platensis extracts have exhibited considerable anti-cancer effects
61,61,extra-virgin olive oil,malignancies,"mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow",,0.0,1.0,"mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow"
62,62,alcohol,dementia,"consuming light-to-moderate amounts of alcohol reduces the risk of dementia and is associated better cognitive function and less cardiovascular disease, relative to those consuming no or heavy alcohol",DOID:1307,0.0,1.0,"consuming light-to-moderate amounts of alcohol reduces the risk of dementia and is associated better cognitive function and less cardiovascular disease, relative to those consuming no or heavy alcohol"
63,63,phenolic acids,alzheimer's disease,the beneficial effects of phenolic acids and their derivatives against alzheimer's disease (ad,DOID:10652,0.0,1.0,the beneficial effects of phenolic acids and their derivatives against alzheimer's disease (ad
64,64,ultra-processed foods,noncommunicable chronic diseases,processed and ultra-processed foods (upf) consumption has been associated with development of noncommunicable chronic diseases (ncd,,1.0,0.0,processed and ultra-processed foods (upf) consumption has been associated with development of noncommunicable chronic diseases (ncd
65,65,water,stones,"between the occurrence of stones and a positive test for elisa ibv (infectious bronchitis virus), or between the number of stones and calcium concentration in water and food, indicating that ibv infection and calcium in the diet were not related to stones formation",,0.0,0.0,"between the occurrence of stones and a positive test for elisa ibv (infectious bronchitis virus), or between the number of stones and calcium concentration in water and food, indicating that ibv infection and calcium in the diet were not related to stones formation"
66,66,chicken,infectious bronchitis,infectious bronchitis (ib) affects chicken of all ages and poses,,0.0,0.0,infectious bronchitis (ib) affects chicken of all ages and poses
67,67,labiatae,cardiovascular diseases,"use of labiatae as food or food additives (such as spices) may prevent risk of cardiovascular diseases, diabetes and cancer",,0.0,1.0,"use of labiatae as food or food additives (such as spices) may prevent risk of cardiovascular diseases, diabetes and cancer"
68,68,meat,coronary heart disease,"saturated fats, such as meat and certain dairy products, raises the risk of coronary heart disease, especially in smokers",DOID:3393,1.0,0.0,"saturated fats, such as meat and certain dairy products, raises the risk of coronary heart disease, especially in smokers"
69,69,milk,respiratory complications,"that recurrent inhalation of milk and food, consequent upon disordered oesophageal motility, is the major factor causing these respiratory complications",,1.0,0.0,"that recurrent inhalation of milk and food, consequent upon disordered oesophageal motility, is the major factor causing these respiratory complications"
70,70,docosahexaenoic acid,alzheimer's disease,"docosahexaenoic acid (dha) is a fatty acid abundant in the brain, and is reported to have protective effects against alzheimer's disease, although the mechanistic effects of",DOID:10652,0.0,1.0,"docosahexaenoic acid (dha) is a fatty acid abundant in the brain, and is reported to have protective effects against alzheimer's disease, although the mechanistic effects of"
71,71,artichoke,"cardiovascular, hepatic and gastric diseases","cynara scolymus l. (common artichoke) and its products have been considered as potential phytotherapeutic agents for various conditions, such as cardiovascular, hepatic and gastric diseases, among others",,0.0,1.0,"cynara scolymus l. (common artichoke) and its products have been considered as potential phytotherapeutic agents for various conditions, such as cardiovascular, hepatic and gastric diseases, among others"
72,72,milk consumption,osteoporosis,milk consumption is an accepted strategy in building peak bone mass and therefore may reduce the risk of osteoporosis,DOID:11476,0.0,1.0,milk consumption is an accepted strategy in building peak bone mass and therefore may reduce the risk of osteoporosis
73,73,chickens,bacterial infections,lectin (mbl) concentration with bacterial infections in chickens,,0.0,0.0,lectin (mbl) concentration with bacterial infections in chickens
74,74,olive oil,cardiovascular disease,"mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the",,0.0,1.0,"mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the"
75,75,egg consumption,diabetes,the association between egg consumption and diabetes is inconclusive,DOID:9351,0.0,0.0,the association between egg consumption and diabetes is inconclusive
76,76,oryza sativa,vomiting,"oryza sativa l. is consumed globally as a staple food, and its roots have been used as a korean and chinese medical supplement for protection of the stomach and lungs and for amelioration of vomiting and fever",,0.0,1.0,"oryza sativa l. is consumed globally as a staple food, and its roots have been used as a korean and chinese medical supplement for protection of the stomach and lungs and for amelioration of vomiting and fever"
77,77,gelatin hydrolysates ,osteoporosis,osteoporosis is a common skeletal disorder in humans and gelatin hydrolysates from mammals have been reported to improve osteoporosis,DOID:11476,0.0,1.0,osteoporosis is a common skeletal disorder in humans and gelatin hydrolysates from mammals have been reported to improve osteoporosis
78,78,beer,allergic contact dermatitis,a case of recurrent allergic contact dermatitis (acd) that lasted months in which the patient retrospectively correlated new lesion appearance with consumption of specific types of beer and bread,DOID:3042,0.0,0.0,a case of recurrent allergic contact dermatitis (acd) that lasted months in which the patient retrospectively correlated new lesion appearance with consumption of specific types of beer and bread
79,79,blueberries,g6pd) deficiency,the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (g6pd) deficiency,,1.0,0.0,the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (g6pd) deficiency
80,80,olive oil,alzheimer's disease,olive oil is a major component of the mediterranean diet suggested to be beneficial to counteract alzheimer's disease,DOID:10652,0.0,1.0,olive oil is a major component of the mediterranean diet suggested to be beneficial to counteract alzheimer's disease
81,81,avocado soybean unsaponifiables (asu),knee osteoarthritis,"avocado soybean unsaponifiables (asu) has proven its safety and effectiveness in clinical studies of knee osteoarthritis (oa); however, whether asu exerts",,0.0,1.0,"avocado soybean unsaponifiables (asu) has proven its safety and effectiveness in clinical studies of knee osteoarthritis (oa); however, whether asu exerts"
82,82,high-calorie diet,obesity,a high-calorie diet (hcd) induces two mutually exacerbating effects contributing to diet-induced obesity (dio): impaired glucose metabolism and,DOID:9970,1.0,0.0,a high-calorie diet (hcd) induces two mutually exacerbating effects contributing to diet-induced obesity (dio): impaired glucose metabolism and
83,83,milk,infections of the cow udder,infections of the cow udder leading to mastitis and reducing milk quality are a critical challenge,,0.0,0.0,infections of the cow udder leading to mastitis and reducing milk quality are a critical challenge
84,84,unhealthy diet,malnutrition,"a triple burden of malnutrition with high rates of obesity, undernutrition in children, and iron deficiency anemia in women of reproductive age, driven by an inadequate, unhealthy diet",,1.0,0.0,"a triple burden of malnutrition with high rates of obesity, undernutrition in children, and iron deficiency anemia in women of reproductive age, driven by an inadequate, unhealthy diet"
85,85,ginger,behavioral dysfunction,previous study suggests that ginger root extract can reverse behavioral dysfunction and prevent alzheimer's disease (ad,,0.0,1.0,previous study suggests that ginger root extract can reverse behavioral dysfunction and prevent alzheimer's disease (ad
86,86,tobacco,bladder cancer,tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer,DOID:11054,1.0,0.0,tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer
87,87,water,zoonotic diseases,"zoonotic diseases are transmitted from animals to humans through direct contact or through food, water, and the environment",,0.0,0.0,"zoonotic diseases are transmitted from animals to humans through direct contact or through food, water, and the environment"
88,88,peanut,intestinal anaphylaxis,for the development of peanut-induced intestinal anaphylaxis and il-13 production in allergic,,1.0,0.0,for the development of peanut-induced intestinal anaphylaxis and il-13 production in allergic
89,89,ginseng,cardiovascular disease,"major active component of ginseng, has many benefits for cardiovascular disease and diabetes mellitus (dm), but",,0.0,1.0,"major active component of ginseng, has many benefits for cardiovascular disease and diabetes mellitus (dm), but"
90,90,diet,renal stone disease,"the different susceptibility to renal stone disease of white and black people has been previously explained in terms of intrinsic (genetics) and extrinsic (diet, lifestyle) factors",,0.0,0.0,"the different susceptibility to renal stone disease of white and black people has been previously explained in terms of intrinsic (genetics) and extrinsic (diet, lifestyle) factors"
91,91,3-hydroxyphenylpropionic acid,diabetes,"-dihydroxyphenylacetic acid (dhpaa) and 3-hydroxyphenylpropionic acid (hppa), have been suggested to exert beneficial effects in diabetes",DOID:9351,0.0,1.0,"-dihydroxyphenylacetic acid (dhpaa) and 3-hydroxyphenylpropionic acid (hppa), have been suggested to exert beneficial effects in diabetes"
92,92,milk,coronary heart disease,"that high consumption of milk and dairy products may have protective effects against coronary heart disease (chd), stroke, diabetes, certain cancers",DOID:3393,0.0,1.0,"that high consumption of milk and dairy products may have protective effects against coronary heart disease (chd), stroke, diabetes, certain cancers"
93,93,fermented foods,gut dysbiosis,"regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis",,0.0,1.0,"regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis"
94,94,olive oil,murine collagen-induced arthritis,"a polyphenolic compound in olive oil, exerts an anti-inflammatory effect on murine collagen-induced arthritis",DOID:848,0.0,1.0,"a polyphenolic compound in olive oil, exerts an anti-inflammatory effect on murine collagen-induced arthritis"
95,95,fruits,degenerative diseases,"consumption of vegetables and fruits is consistently associated with a low risk of oxidative stress-induced diseases, which includes some degenerative diseases such as amyotrophic lateral sclerosis",DOID:1289,0.0,1.0,"consumption of vegetables and fruits is consistently associated with a low risk of oxidative stress-induced diseases, which includes some degenerative diseases such as amyotrophic lateral sclerosis"
96,96,alcoholics,osteopenia,osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty,,1.0,0.0,osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty
97,97,olive oil,neurodegenerative tauopathies,properties of olives and olive oil as well as a chemical scaffold for the development of new drugs aiming at neurodegenerative tauopathies,,0.0,0.0,properties of olives and olive oil as well as a chemical scaffold for the development of new drugs aiming at neurodegenerative tauopathies
98,98,turkey,hvt,vaccination with herpesvirus of turkey (hvt) or recombinant hvt (rhvt) is commonly used in meat-type,,0.0,0.0,vaccination with herpesvirus of turkey (hvt) or recombinant hvt (rhvt) is commonly used in meat-type
99,99,sugar,caries,"many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption",,1.0,0.0,"many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption"
100,100,extra-virgin olive oil,breast and colon cancers,"mediterranean diet rich in extra-virgin olive oil (evoo) to reduce breast and colon cancers incidence, cardiovascular diseases, and aging",,0.0,1.0,"mediterranean diet rich in extra-virgin olive oil (evoo) to reduce breast and colon cancers incidence, cardiovascular diseases, and aging"
101,101,fruit,inflammation,fruit and vegetables are still not being eaten in adequate amounts and yet contain micronutrients and phytochemicals useful for bone remodelling (bone formation and resorption) and are essential for reducing inflammation and oxidative stress,,0.0,1.0,fruit and vegetables are still not being eaten in adequate amounts and yet contain micronutrients and phytochemicals useful for bone remodelling (bone formation and resorption) and are essential for reducing inflammation and oxidative stress
102,102,alcoholic beverages,dementia,moderate consumption of alcoholic beverages reduces the risk of dementia and cognitive decline,DOID:1307,0.0,1.0,moderate consumption of alcoholic beverages reduces the risk of dementia and cognitive decline
103,103,livestock,infectious diseases,"many infectious diseases originating from, or carried by, wildlife affect wildlife conservation and biodiversity, livestock health, or human health",DOID:0050117,0.0,0.0,"many infectious diseases originating from, or carried by, wildlife affect wildlife conservation and biodiversity, livestock health, or human health"
104,104,ginger,inflammation,ginger as an anti-oxidant and anti-inflammation can effect on these biomarkers,,0.0,1.0,ginger as an anti-oxidant and anti-inflammation can effect on these biomarkers
105,105,tofu,dementia,"indonesia, hawai'i and china, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk",DOID:1307,1.0,0.0,"indonesia, hawai'i and china, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk"
106,106,walnuts,alzheimer's disease,shown beneficial effects of walnuts on memory and learning skills in transgenic mouse model of alzheimer's disease (ad-tg,DOID:10652,0.0,1.0,shown beneficial effects of walnuts on memory and learning skills in transgenic mouse model of alzheimer's disease (ad-tg
107,107,ketogenic diets,cancer,"in the use of ketogenic diets (kds) for cancer, evidence of beneficial effects is",,0.0,0.0,"in the use of ketogenic diets (kds) for cancer, evidence of beneficial effects is"
108,108,mediterranean diet,ischemic heart disease,that populations practicing a mediterranean diet - such as the greeks and southern italians - showed low mortality rates from ischemic heart disease compared to the peoples of,,0.0,1.0,that populations practicing a mediterranean diet - such as the greeks and southern italians - showed low mortality rates from ischemic heart disease compared to the peoples of
109,109,olea europaea,inflammation,bioactive extracts from olea europaea have anti-inflammatory activity and have been shown to reduce systemic inflammation in other animal models,,0.0,1.0,bioactive extracts from olea europaea have anti-inflammatory activity and have been shown to reduce systemic inflammation in other animal models
110,110,tasmanian atlantic salmon (salmo salar),viral diseases,the tasmanian atlantic salmon (salmo salar) aquaculture industry had remained relatively free of major viral diseases until the recent emergence of,DOID:934,0.0,0.0,the tasmanian atlantic salmon (salmo salar) aquaculture industry had remained relatively free of major viral diseases until the recent emergence of
111,111,fruits,kidney stones,intake of vegetables and fruits play a role in the prevention of kidney stones,DOID:585,0.0,1.0,intake of vegetables and fruits play a role in the prevention of kidney stones
