label,sentence
1,"""Accumulating""/VERB,""epidemiological""/ADJ,""study""/NOUN,""indicated""/VERB,""consuming""/VERB,""fruit""/NOUN,""inversely""/ADV,""related""/VERB,""risk""/NOUN,""CVDs""/NOUN"
1,"""A""/DET,""recent""/ADJ,""study""/NOUN,""confirmed""/VERB,""stroke""/NOUN,""preventive""/ADJ,""effect""/NOUN,""Mediterranean""/ADJ,""diet""/NOUN,""rich""/ADJ,""olive""/NOUN,""oil""/NOUN,""nut""/NOUN,""ketogenic""/ADJ,""diet""/NOUN,""reduces""/VERB,""seizure""/NOUN,""frequency""/NOUN,""epilepsy""/NOUN"
1,"""Numerous""/ADJ,""animal""/NOUN,""vitro""/X,""study""/NOUN,""provided""/VERB,""evidence""/NOUN,""relation""/NOUN,""garlic""/NOUN,""intake""/NOUN,""cancer""/NOUN,""risk""/NOUN,""reduction""/NOUN"
2,"""Recent""/ADJ,""study""/NOUN,""cardiovascular""/ADJ,""outcome""/NOUN,""among""/ADP,""patient""/NOUN,""T2DM""/PROPN,""clearly""/ADV,""shown""/VERB,""sodium-glucose""/NOUN,""cotransporter""/NOUN,""2""/NUM,""SGLT2""/NOUN,""inhibitor""/NOUN,""empagliflozin""/NOUN,""canagliflozin""/NOUN,""dapagliflozin""/NOUN,""cardiorenal""/ADJ,""protective""/ADJ,""effect""/NOUN,""apart""/ADP,""glucose-lowering""/ADJ,""effect""/NOUN"
0,"""Aerosolized""/ADJ,""crab""/NOUN,""allergen""/NOUN,""suspected""/VERB,""etiologic""/ADJ,""agent""/NOUN,""asthma""/NOUN,""among""/ADP,""crab-processing""/ADJ,""worker""/NOUN"
0,"""Salt""/NOUN,""sodium""/NOUN,""chloride""/NOUN,""NaCl""/PROPN,""commonly""/ADV,""used""/VERB,""ready-to-eat""/ADJ,""RTE""/NOUN,""meat""/NOUN,""product""/NOUN,""biltong""/NOUN,""South""/ADJ,""African""/ADJ,""style""/NOUN,""dried""/VERB,""beef""/NOUN,""product""/NOUN,""flavor""/NOUN,""enhanced""/VERB,""moisture""/NOUN,""loss""/NOUN,""reduction""/NOUN,""microbial""/ADJ,""growth""/NOUN"
2,"""Almost""/ADV,""organism""/NOUN,""produced""/VERB,""siderophore""/NOUN,""hemolytic""/ADJ,""turkey""/NOUN,""red""/ADJ,""blood""/NOUN,""cell""/NOUN"
1,"""Recent""/ADJ,""evidence""/NOUN,""revealed""/VERB,""potential""/ADJ,""ginger""/NOUN,""reducing""/VERB,""diabetes-induced""/ADJ,""oxidative""/ADJ,""stress""/NOUN,""marker""/NOUN"
1,"""Several""/ADJ,""clinical""/ADJ,""epidemiological""/ADJ,""experimental""/ADJ,""evidence""/NOUN,""suggest""/VERB,""consumption""/NOUN,""MeDiet""/PROPN,""reduces""/VERB,""incidence""/NOUN,""certain""/ADJ,""pathology""/NOUN,""related""/VERB,""oxidative""/ADJ,""stress""/NOUN,""chronic""/ADJ,""inflammation""/NOUN,""immune""/ADJ,""system""/NOUN,""disease""/NOUN,""cancer""/NOUN,""atherosclerosis""/NOUN,""cardiovascular""/ADJ,""disease""/NOUN,""CVD""/PROPN"
0,"""Milk""/NOUN,""often""/ADV,""seen""/VERB,""potential""/ADJ,""promotor""/NOUN,""atherosclerosis""/NOUN,""coronary""/ADJ,""heart""/NOUN,""disease""/NOUN,""source""/NOUN,""cholesterol""/NOUN,""saturated""/VERB,""fatty""/ADJ,""acid""/NOUN"
1,"""Regarding""/VERB,""food""/NOUN,""intake""/NOUN,""fruit""/NOUN,""correlated""/VERB,""negatively""/ADV,""incidence""/NOUN,""urolithiasis""/NOUN,""r""/NOUN,""p""/NOUN,""0.008""/NUM,""intake""/NOUN,""egg""/NOUN,""r""/NOUN,""0.537""/NUM,""p""/NOUN,""0.072""/NUM,""sugar""/NOUN,""r""/NOUN,""0.475""/NUM,""p""/NOUN,""0.119""/NUM,""tended""/VERB,""positively""/ADV,""correlate""/VERB,""incidence""/NOUN"
1,"""Rice""/NOUN,""fortification""/NOUN,""vitamin""/NOUN,""mineral""/NOUN,""potential""/NOUN,""increase""/VERB,""nutrition""/NOUN,""rice-consuming""/VERB,""country""/NOUN,""micronutrient""/ADJ,""deficiency""/NOUN,""exist""/VERB"
2,"""Bovine""/NOUN,""mastitis""/NOUN,""continues""/VERB,""leading""/VERB,""cause""/VERB,""heavy""/ADJ,""economic""/ADJ,""loss""/NOUN,""dairy""/NOUN,""industry""/NOUN,""public""/ADJ,""health""/NOUN,""hazard""/NOUN,""globally""/ADV"
0,"""Bakers""/NOUN,""exposed""/VERB,""daily""/ADJ,""flour""/NOUN,""may""/AUX,""susceptible""/ADJ,""immunologic""/ADJ,""occupational""/ADJ,""disease""/NOUN"
0,"""For""/ADP,""decade""/NOUN,""occupational""/ADJ,""exposure""/NOUN,""flour""/NOUN,""dust""/NOUN,""linked""/VERB,""range""/NOUN,""respiratory""/ADJ,""disease""/NOUN,""including""/VERB,""occupational""/ADJ,""asthma""/NOUN,""thought""/VERB,""result""/NOUN,""exposure""/NOUN,""fungi""/NOUN,""present""/ADJ,""flour""/NOUN"
1,"""Epicatechin""/PROPN,""EC""/PROPN,""main""/ADJ,""colonic""/ADJ,""phenolic""/ADJ,""acid""/NOUN,""derived""/VERB,""flavonoid""/NOUN,""intake""/NOUN,""2,3-dihydroxybenzoic""/NOUN,""acid""/NOUN,""DHBA""/NOUN,""3,4-dihydroxyphenylacetic""/ADJ,""acid""/NOUN,""DHPAA""/NOUN,""3-hydroxyphenylpropionic""/ADJ,""acid""/NOUN,""HPPA""/PROPN,""suggested""/VERB,""exert""/VERB,""beneficial""/ADJ,""effect""/NOUN,""diabetes""/NOUN"
2,"""The""/DET,""role""/NOUN,""properly""/ADV,""balanced""/VERB,""diet""/NOUN,""prevention""/NOUN,""treatment""/NOUN,""mental""/ADJ,""disorder""/NOUN,""suggested""/VERB,""vegetable""/NOUN,""fruit""/NOUN,""high""/ADJ,""content""/NOUN,""nutrient""/NOUN,""may""/AUX,""importance""/NOUN,""case""/NOUN,""depressive""/ADJ,""disorder""/NOUN"
0,"""Exposure""/NOUN,""cigarette""/NOUN,""smoke""/NOUN,""CS""/NOUN,""associated""/VERB,""increased""/VERB,""risk""/NOUN,""several""/ADJ,""neurological""/ADJ,""disease""/NOUN,""stroke""/NOUN,""Alzheimer""/PROPN,""disease""/NOUN,""dementia""/NOUN"
1,"""Regular""/ADJ,""cocoa""/NOUN,""consumption""/NOUN,""shown""/VERB,""improve""/VERB,""blood""/NOUN,""pressure""/NOUN,""BP""/PROPN,""insulin""/NOUN,""sensitivity""/NOUN,""lipid""/NOUN,""level""/NOUN,""patient""/NOUN,""type""/NOUN,""2""/NUM,""diabetes""/NOUN,""T2D""/NOUN,""using""/VERB,""100""/NUM,""g""/NOUN,""chocolate""/NOUN,""54""/NUM,""g""/NOUN,""cocoa""/NOUN"
0,"""Diets""/NOUN,""high""/ADJ,""salt""/NOUN,""leading""/VERB,""risk""/NOUN,""death""/NOUN,""disability""/NOUN,""globally""/ADV"
0,"""Regular""/ADJ,""intake""/NOUN,""food""/NOUN,""rich""/ADJ,""saturated""/ADJ,""fat""/NOUN,""meat""/NOUN,""certain""/ADJ,""dairy""/NOUN,""product""/NOUN,""raise""/VERB,""risk""/NOUN,""coronary""/ADJ,""heart""/NOUN,""disease""/NOUN,""especially""/ADV,""smoker""/NOUN"
2,"""No""/DET,""study""/NOUN,""far""/ADV,""shown""/VERB,""effect""/NOUN,""fruit""/NOUN,""vegetable""/NOUN,""intake""/NOUN,""mental""/ADJ,""disorder""/NOUN,""Mexican""/ADJ,""Americans""/PROPN,""mental""/ADJ,""illness""/NOUN,""important""/ADJ,""health""/NOUN,""issue""/NOUN"
0,"""Exposure""/NOUN,""wheat""/NOUN,""flour""/NOUN,""guar""/NOUN,""gum""/NOUN,""well-known""/ADJ,""cause""/VERB,""occupational""/ADJ,""respiratory""/ADJ,""allergy""/NOUN,""among""/ADP,""worker""/NOUN,""food""/NOUN,""processing""/NOUN,""industry""/NOUN"
0,"""Dietary""/ADJ,""excess""/ADJ,""animal""/NOUN,""protein""/NOUN,""and""/CCONJ,""/""/SYM,""or""/CCONJ,""salt""/NOUN,""implicated""/VERB,""risk""/NOUN,""factor""/NOUN,""calcium""/NOUN,""oxalate""/NOUN,""urolithiasis""/NOUN"
1,"""Besides""/ADP,""food-additive""/ADJ,""function""/NOUN,""ginger""/NOUN,""long""/ADJ,""history""/NOUN,""medicinal""/ADJ,""use""/NOUN,""treatment""/NOUN,""variety""/NOUN,""human""/ADJ,""ailment""/NOUN,""including""/VERB,""common""/ADJ,""cold""/ADJ,""fever""/NOUN,""rheumatic""/ADJ,""disorder""/NOUN,""gastrointestinal""/ADJ,""complication""/NOUN,""motion""/NOUN,""sickness""/NOUN,""diabetes""/NOUN,""cancer""/NOUN,""etc""/X"
2,"""Many""/ADJ,""infectious""/ADJ,""disease""/NOUN,""originating""/VERB,""carried""/VERB,""wildlife""/NOUN,""affect""/VERB,""wildlife""/NOUN,""conservation""/NOUN,""biodiversity""/NOUN,""livestock""/NOUN,""health""/NOUN,""human""/ADJ,""health""/NOUN"
1,"""High""/ADJ,""level""/NOUN,""consumption""/NOUN,""92""/NUM,""times""/NOUN,""/""/SYM,""month""/NOUN,""fermented""/VERB,""food""/NOUN,""doenjang""/PROPN,""chungkookjang""/PROPN,""kimchi""/NOUN,""fermented""/VERB,""seafood""/NOUN,""makgeolli""/NOUN,""beer""/NOUN,""associated""/VERB,""lower""/ADJ,""prevalence""/NOUN,""AD""/NOUN,""OR""/CCONJ,""0.56""/NUM,""95""/NUM,""confidence""/NOUN,""interval""/NOUN,""CI""/NOUN,""0.37-0.84""/NUM"
0,"""Wheat""/NOUN,""food""/NOUN,""allergen""/NOUN,""occasionally""/ADV,""cause""/VERB,""systemic""/ADJ,""allergic""/ADJ,""reaction""/NOUN,""however""/ADV,""little""/ADV,""known""/VERB,""quantity""/NOUN,""wheat""/NOUN,""allergen""/NOUN,""required""/VERB,""evoke""/VERB,""allergic""/ADJ,""symptom""/NOUN"
1,"""Wheat""/NOUN,""maize""/NOUN,""corn""/NOUN,""flour""/NOUN,""staple""/NOUN,""crop""/NOUN,""consumed""/VERB,""widely""/ADV,""throughout""/ADP,""world""/NOUN,""fortified""/VERB,""folic""/ADJ,""acid""/NOUN,""80""/NUM,""country""/NOUN,""prevent""/VERB,""neural""/ADJ,""tube""/NOUN,""defect""/NOUN"
1,"""Eucalyptol""/NOUN,""1,8-cineole""/NOUN,""major""/ADJ,""constituent""/ADJ,""eucalyptus""/NOUN,""oil""/NOUN,""EO""/PROPN,""used""/VERB,""traditional""/ADJ,""medicine""/NOUN,""remedy""/VERB,""cold""/ADJ,""bronchitis""/NOUN"
1,"""Several""/ADJ,""study""/NOUN,""shown""/VERB,""high""/ADJ,""consumption""/NOUN,""vegetable""/NOUN,""fruit""/NOUN,""consistently""/ADV,""associated""/VERB,""low""/ADJ,""risk""/NOUN,""oxidative""/ADJ,""stress-induced""/ADJ,""disease""/NOUN,""includes""/VERB,""degenerative""/ADJ,""disease""/NOUN,""amyotrophic""/ADJ,""lateral""/ADJ,""sclerosis""/NOUN,""Alzheimer""/PROPN,""Parkinson""/PROPN"
1,"""We""/PRON,""previously""/ADV,""demonstrated""/VERB,""sulforaphane""/NOUN,""dietary""/ADJ,""isothiocyanate""/NOUN,""derived""/VERB,""glucosinolate""/NOUN,""precursor""/NOUN,""found""/VERB,""broccoli""/NOUN,""prevent""/VERB,""cartilage""/NOUN,""destruction""/NOUN,""cell""/NOUN,""vitro""/X,""vivo""/X,""model""/NOUN,""osteoarthritis""/NOUN"
1,"""Garlic""/NOUN,""constituent""/NOUN,""reported""/VERB,""preventive""/ADJ,""effect""/NOUN,""colorectal""/ADJ,""cancer""/NOUN,""animal""/NOUN,""model""/NOUN"
2,"""Many""/ADJ,""viral""/ADJ,""pathogen""/NOUN,""fish""/NOUN,""e.g""/NOUN,""infectious""/ADJ,""salmon""/NOUN,""anaemia""/NOUN,""viral""/ADJ,""haemorrhagic""/ADJ,""septicaemia""/NOUN,""shrimp""/NOUN,""e.g""/NOUN,""white""/ADJ,""spot""/NOUN,""syndrome""/NOUN,""virus""/NOUN,""affect""/VERB,""large""/ADJ,""proportion""/NOUN,""global""/ADJ,""production""/NOUN,""key""/NOUN,""susceptible""/ADJ,""specie""/NOUN"
1,"""Three""/NUM,""recent""/ADJ,""meta-analyses""/NOUN,""found""/VERB,""significant""/ADJ,""prospective""/ADJ,""inverse""/ADJ,""association""/NOUN,""chocolate""/NOUN,""intake""/NOUN,""cardiovascular""/ADJ,""disease""/NOUN,""risk""/NOUN"
1,"""The""/DET,""hypothesis""/NOUN,""vitamin""/NOUN,""A""/NOUN,""food""/NOUN,""rich""/ADJ,""vitamin""/NOUN,""A""/NOUN,""milk""/NOUN,""protects""/VERB,""development""/NOUN,""airway""/NOUN,""obstruction""/NOUN,""tested""/VERB,""subsample""/NOUN,""data""/NOUN,""1971-1975""/NUM,""National""/PROPN,""Health""/PROPN,""Nutrition""/PROPN,""Examination""/PROPN,""Survey""/PROPN"
0,"""Pistachio""/NOUN,""cashew""/NOUN,""nut""/NOUN,""belong""/VERB,""botanical""/ADJ,""family""/NOUN,""tree""/NOUN,""nut""/NOUN,""induce""/VERB,""serious""/ADJ,""allergic""/ADJ,""reaction""/NOUN"
0,"""Recent""/ADJ,""evidence""/NOUN,""also""/ADV,""suggested""/VERB,""carnitine""/NOUN,""red""/ADJ,""meat""/NOUN,""precursor""/NOUN,""trimethylamine-N-oxide""/NOUN,""shown""/VERB,""cause""/ADP,""atherosclerosis""/NOUN,""may""/AUX,""increase""/VERB,""risk""/NOUN,""suffering""/VERB,""CVD""/NOUN,""experimental""/ADJ,""animal""/NOUN"
2,"""There""/ADV,""limited""/VERB,""data""/NOUN,""available""/ADJ,""regarding""/VERB,""relationship""/NOUN,""bone""/NOUN,""fracture""/NOUN,""history""/NOUN,""calcium""/NOUN,""intake""/NOUN,""sugar""/NOUN,""sweetened""/VERB,""beverage""/NOUN,""SSBs""/NOUN,""intake""/NOUN,""vitamin""/NOUN,""D""/NOUN,""status""/NOUN,""physical""/ADJ,""activity""/NOUN,""PA""/NOUN,""ethnicity""/NOUN,""body""/NOUN,""composition""/NOUN,""New""/PROPN,""Zealand""/PROPN,""NZ""/PROPN,""child""/NOUN"
1,"""Maternal""/ADJ,""dietary""/ADJ,""intervention""/NOUN,""pregnancy""/NOUN,""fish""/NOUN,""oil""/NOUN,""high""/ADJ,""dose""/NOUN,""vitamin""/NOUN,""D""/NOUN,""shown""/VERB,""reduce""/VERB,""incidence""/NOUN,""asthma""/NOUN,""wheeze""/NOUN,""offspring""/NOUN,""potentially""/ADV,""microbial""/ADJ,""effect""/NOUN,""pregnancy""/NOUN,""early""/ADJ,""childhood""/NOUN"
0,"""Bread""/NOUN,""staple""/NOUN,""food""/NOUN,""majority""/NOUN,""people""/NOUN,""worldwide""/ADJ,""high""/ADJ,""glycemic""/ADJ,""effect""/NOUN"
2,"""The""/DET,""autocrine""/ADJ,""paracrine""/NOUN,""endocrine""/NOUN,""action""/NOUN,""myokines""/NOUN,""include""/VERB,""regulation""/NOUN,""energy""/NOUN,""expenditure""/NOUN,""insulin""/NOUN,""sensitivity""/NOUN,""lipolysis""/NOUN,""free""/ADJ,""fatty""/NOUN,""acid""/NOUN,""oxidation""/NOUN,""adipocyte""/NOUN,""browning""/NOUN,""glycogenolysis""/NOUN,""glycogenesis""/NOUN,""general""/ADJ,""metabolism""/NOUN"
0,"""Despite""/ADP,""high""/ADJ,""acceptability""/NOUN,""Allium""/NOUN,""sativa""/NOUN,""Garlic""/NOUN,""remedy""/NOUN,""many""/ADJ,""disease""/NOUN,""earlier""/ADV,""stated""/VERB,""manyresearchers""/NOUN,""previous""/ADJ,""study""/NOUN,""shown""/VERB,""chronic""/ADJ,""unregulated""/ADJ,""consumption""/NOUN,""garlic""/NOUN,""may""/AUX,""result""/VERB,""intra""/NOUN,""vascularhaemolytic""/ADJ,""anaemia""/NOUN,""rat""/NOUN"
1,"""Biologically""/ADV,""active""/ADJ,""peptide""/NOUN,""milk""/NOUN,""protein""/NOUN,""used""/VERB,""effective""/ADJ,""dietary""/ADJ,""supplement""/NOUN,""management""/NOUN,""bone-associated""/ADJ,""issue""/NOUN,""including""/VERB,""osteoporosis""/NOUN"
1,"""Over""/ADP,""one""/NUM,""thousand""/NUM,""cultivar""/NOUN,""Punica""/PROPN,""granatum""/NOUN,""Punicaceae""/PROPN,""known""/VERB,""traditionally""/ADV,""used""/VERB,""treat""/VERB,""various""/ADJ,""ailment""/NOUN"
2,"""There""/ADV,""sparse""/ADJ,""evidence""/NOUN,""association""/NOUN,""suitable""/ADJ,""food""/NOUN,""substitution""/NOUN,""red""/ADJ,""processed""/VERB,""meat""/NOUN,""risk""/NOUN,""type""/NOUN,""2""/NUM,""diabetes""/NOUN"
2,"""Poor""/ADJ,""dietary""/ADJ,""habit""/NOUN,""contribute""/VERB,""obesity""/NOUN,""pandemic""/ADJ,""related""/ADJ,""cardiovascular""/ADJ,""disease""/NOUN,""respective""/ADJ,""impact""/NOUN,""high""/ADJ,""saturated""/ADJ,""fat""/NOUN,""versus""/ADP,""added""/VERB,""sugar""/NOUN,""consumption""/NOUN,""remains""/VERB,""debated""/VERB"
2,"""Epidemiological""/ADJ,""study""/NOUN,""presented""/VERB,""inconsistent""/ADJ,""evidence""/NOUN,""correlation""/NOUN,""fish-oriented""/VERB,""dietary""/ADJ,""intake""/NOUN,""FDI""/PROPN,""risk""/NOUN,""cognitive""/ADJ,""decline""/NOUN"
2,"""A""/DET,""long-standing""/ADJ,""body""/NOUN,""clinical""/ADJ,""observation""/NOUN,""associate""/NOUN,""low""/ADJ,""24-h""/NUM,""total""/ADJ,""water""/NOUN,""intake""/NOUN,""TWI""/NOUN,""water""/NOUN,""beverage""/NOUN,""food""/NOUN,""moisture""/NOUN,""acute""/ADJ,""renal""/ADJ,""disorder""/NOUN,""kidney""/NOUN,""stone""/NOUN,""urinary""/ADJ,""tract""/NOUN,""infection""/NOUN"
2,"""In""/ADP,""study""/NOUN,""HD11""/NOUN,""chicken""/NOUN,""macrophage""/NOUN,""cell""/NOUN,""line""/NOUN,""chicken""/NOUN,""peripheral""/ADJ,""blood""/NOUN,""mononuclear""/NOUN,""cell-derived""/ADJ,""macrophage""/NOUN,""PBMCs-MA""/NOUN,""infected""/VERB,""IBV""/PROPN,""multiplicity""/NOUN,""infection""/NOUN,""MOI""/NOUN,""10""/NUM"
1,"""Evidence""/NOUN,""regarding""/VERB,""health""/NOUN,""benefit""/NOUN,""oolong""/NOUN,""tea""/NOUN,""consumption""/NOUN,""accumulating""/VERB,""tea""/NOUN,""polyphenols""/NOUN,""various""/ADJ,""pharmacological""/ADJ,""property""/NOUN,""anti-cancer""/ADJ,""anti-diabetes""/ADJ,""effect""/NOUN"
1,"""Ginger""/NOUN,""rizhome""/NOUN,""Zingiber""/PROPN,""officinale""/PROPN,""Roscoe""/PROPN,""widely""/ADV,""used""/VERB,""ethnomedicine""/NOUN,""cure""/NOUN,""several""/ADJ,""ailment""/NOUN"
2,"""Risk""/NOUN,""factor""/NOUN,""include""/VERB,""male""/ADJ,""sex""/NOUN,""obesity""/NOUN,""hypertension""/NOUN,""alcohol""/NOUN,""intake""/NOUN,""diuretic""/ADJ,""use""/NOUN,""diet""/NOUN,""rich""/ADJ,""meat""/NOUN,""seafood""/NOUN,""chronic""/ADJ,""kidney""/NOUN,""disease""/NOUN,""diet""/NOUN,""heavy""/ADJ,""fructose-rich""/ADJ,""food""/NOUN,""beverage""/NOUN,""member""/NOUN,""certain""/ADJ,""ethnic""/ADJ,""group""/NOUN,""including""/VERB,""Taiwanese""/ADJ,""Pacific""/PROPN,""Islander""/PROPN,""New""/PROPN,""Zealand""/PROPN,""Maori""/PROPN,""living""/VERB,""high-income""/ADJ,""country""/NOUN"
2,"""The""/DET,""present""/ADJ,""review""/NOUN,""summarize""/VERB,""current""/ADJ,""knowledge""/NOUN,""potential""/ADJ,""cancer""/NOUN,""preventive""/ADJ,""effect""/NOUN,""apple""/NOUN,""apple""/NOUN,""juice""/NOUN,""apple""/NOUN,""extract""/NOUN,""jointly""/ADV,""designated""/VERB,""apple""/NOUN,""product""/NOUN"
2,"""The""/DET,""association""/NOUN,""egg""/NOUN,""consumption""/NOUN,""total""/ADJ,""coronary""/ADJ,""heart""/NOUN,""disease""/NOUN,""CHD""/NOUN,""stroke""/NOUN,""mortality""/NOUN,""poorly""/ADV,""understood""/VERB"
1,"""Garlic""/NOUN,""Allium""/NOUN,""sativum""/NOUN,""popular""/ADJ,""spice""/NOUN,""remedy""/NOUN,""variety""/NOUN,""ailment""/NOUN,""also""/ADV,""known""/VERB,""medicinal""/ADJ,""us""/PRON,""antibiotic""/ADJ,""antithrombotic""/ADJ,""antineoplastic""/ADJ,""agent""/NOUN"
1,"""Omega-3""/NOUN,""fatty""/NOUN,""acid""/NOUN,""omega-3FAs""/NOUN,""Docosahexaenoic""/NOUN,""acid""/NOUN,""DHA""/NOUN,""Eicosapentanoic""/NOUN,""acid""/NOUN,""EPA""/PROPN,""active""/ADJ,""ingredient""/NOUN,""fish""/NOUN,""oil""/NOUN,""larger""/ADJ,""health""/NOUN,""benefit""/NOUN,""various""/ADJ,""disease""/NOUN,""including""/VERB,""cardiovascular""/ADJ,""neurodegenerative""/ADJ,""cancer""/NOUN,""bone""/NOUN,""disease""/NOUN"
1,"""The""/DET,""nutraceuticals""/NOUN,""identified""/VERB,""dietary""/ADJ,""agent""/NOUN,""butein""/NOUN,""cardamonin""/NOUN,""coronarin""/NOUN,""D""/NOUN,""curcumin""/NOUN,""diosgenin""/NOUN,""embelin""/NOUN,""gambogic""/NOUN,""acid""/NOUN,""genistein""/NOUN,""plumbagin""/NOUN,""quercetin""/NOUN,""reseveratrol""/NOUN,""zerumbone""/NOUN,""modulate""/NOUN,""cell""/NOUN,""signaling""/NOUN,""pathway""/NOUN,""reverse""/NOUN,""/""/SYM,""slow""/ADJ,""osteoporosis""/NOUN"
1,"""The""/DET,""fruit""/NOUN,""Lycium""/PROPN,""chinense""/PROPN,""LC""/PROPN,""one""/NUM,""popular""/ADJ,""natural""/ADJ,""material""/NOUN,""used""/VERB,""counter""/NOUN,""effect""/NOUN,""musculoskeletal""/ADJ,""disease""/NOUN,""oriental""/ADJ,""medicine""/NOUN"
1,"""The""/DET,""health""/NOUN,""benefit""/NOUN,""garlic""/NOUN,""including""/VERB,""inhibition""/NOUN,""carcinogenesis""/NOUN,""supported""/VERB,""several""/ADJ,""epidemiologic""/ADJ,""laboratory""/NOUN,""finding""/NOUN"
2,"""Leukotoxin""/NOUN,""purified""/VERB,""preparative""/ADJ,""SDS-PAGE""/PROPN,""used""/VERB,""production""/NOUN,""chicken""/NOUN,""polyclonal""/ADJ,""antibody""/NOUN,""PAb""/PROPN,""served""/VERB,""primary""/ADJ,""detecting""/VERB,""antibody""/NOUN"
1,"""A""/DET,""diet""/NOUN,""based""/VERB,""adequate""/ADJ,""intake""/NOUN,""calcium""/NOUN,""1000-1200""/NUM,""mg""/NOUN,""per""/ADP,""day""/NOUN,""containment""/NOUN,""animal""/NOUN,""protein""/NOUN,""salt""/NOUN,""decrease""/VERB,""significantly""/ADV,""urinary""/ADJ,""supersaturation""/NOUN,""calcium""/NOUN,""oxalate""/NOUN,""reduce""/VERB,""relative""/ADJ,""risk""/NOUN,""stone""/NOUN,""recurrence""/NOUN,""hypercalciuric""/ADJ,""renal""/ADJ,""stone""/NOUN,""former""/NOUN"
1,"""Curcuma""/PROPN,""longa""/PROPN,""CL""/PROPN,""turmeric""/NOUN,""Ayurvedic""/ADJ,""herb""/NOUN,""traditionally""/ADV,""used""/VERB,""treat""/NOUN,""inflammatory""/ADJ,""condition""/NOUN,""like""/ADP,""rheumatoid""/ADJ,""arthritis""/NOUN,""RA""/PROPN"
