sentence,label
in older people indonesia hawai china tofu contain high level phytoestrogens found increase dementia risk,1
recent epidemiologic study found high glycemic index gi glycemic load gl diet associated higher risk metabolic complication cardiovascular mortality,1
pistachio cashew contain allergenic protein cause removed diet allergic people,1
in rice allergy protein molecular mass kda demonstrated potentially allergenic,1
among nutritional reformulation strategy reduction caloric density salt added sugar saturated transfats important order reduce associated risk developing chronic disease including cardiovascular disease diabetes cancer,1
accumulating evidence suggests nutrition eg via fruit vegetable fish important optimizing cognition reducing risk ad,0
the indulgence alcoholic beverage moderation contrasted inestimable risk danger alcohol abuse many cardiovascular implication cardiac arrhythmia cardiomyopathy arterial hypertension,0
nutritional supplementation fish oil omega polyunsaturated fatty acid pufas potential benefit skin inflammation,0
many small island developing states caribbean experience triple burden malnutrition high rate obesity undernutrition child iron deficiency anemia woman reproductive age driven inadequate unhealthy diet,1
some bath oil skin cream used treating ad contain peanut oil suggested exposure peanut allergen disrupted skin barrier potential cause pa,0
ginger widely used dietary condiment reported improve memory dysfunction animal model alzheimer disease ad,0
rice fortification vitamin mineral potential increase nutrition riceconsuming country micronutrient deficiency exist,0
the present study first demonstration association genetic serum mannanbinding lectin mbl concentration bacterial infection chicken,0
consumption olive olea europaea including table olive oil associated low incidence inflammationrelated disease,0
the ketogenic diet effective alternative therapy used control intractable seizure,0
leukotoxin purified preparative sdspage used production chicken polyclonal antibody pab served primary detecting antibody,0
the low mortality rate ischemic heart disease cancer thought reflect low prevalence obesity japan low intake red meat specifically saturated fatty acid high intake fish specifically polyunsaturated fatty acid plant food soybean nonsugarsweetened beverage green tea,0
first identified feasible treatment intractable epilepsy ketogenic diet kd recently gained popularity thanks growing evidence application weight loss importantly also nafld cancer neurologic condition chronic pain,0
prevention diabetes diet recently received increasing interest polyphenolic compound flavanols become important potential chemopreventive natural agent due proved benefit health low toxicity cost,0
the predominant urinary tract stone tribal satpura belt bladder stone may related poor nutrition low socioeconomic status consumption bajra millet staple food found region,1
diosgenin yamderived compound found facilitate repair axonal atrophy synaptic degeneration improve memory dysfunction transgenic mouse model alzheimer disease ad,0
extensive research last year indicated nutraceuticals derived spice turmeric red pepper black pepper licorice clove ginger garlic coriander cinnamon target inflammatory pathway thereby may prevent neurodegenerative disease,0
for recalculated metaanalyses quality evidence moderate inverse association higher adherence mediterranean diet srr ci primary study higher fish intake srr ci alzheimer disease well tea consumption allcause dementia srr ci parkinson disease srr per cupsd ci,0
although calcium supplementation cause hypercalciuria risk nephrolithiasis shown decrease rather increase among subject higher calcium intake,1
these beverage include compound may contradictory effect insulin glucose caffeine impairs insulin sensitivity polyphenolic molecule within tea coffee cocoa augment effect insulin,0
all evaluated pepper capsicum genus exhibited antihyperglycemia antihypertension potential,0
betaamyrin ingredient surface wax tomato fruit dandelion coffee previously reported ameliorate memory impairment induced cholinergic dysfunction,0
although several case severe hypoalbuminemia resulting rice milk described past today use rice milk without nutritional counseling treat eczema still continuing poor practice,1
capsinoids nonpungent chili pepper cultivar reported reduce body fat mass promote metabolism improve unidentified complaint chill,0
however liquid upf processed meat associated increased rate hypertension irr ci irr ci respectively,1
misconception milk lactose intolerance increase disease activity inflammatory bowel disease lead exclusion dietary dairy product patient increased risk low bone mineral density,0
wheat maize corn flour staple crop consumed widely throughout world fortified folic acid country prevent neural tube defect,0
high level education manualwork low level alcohol use regular health check vegetablebased diet fruit milk protective factor vcind,0
the autocrine paracrine endocrine action myokines include regulation energy expenditure insulin sensitivity lipolysis free fatty acid oxidation adipocyte browning glycogenolysis glycogenesis general metabolism,0
age female sex obesity rapid weight loss consumption refined sugar saturated fat iron deficiency vitamin low intake fiber vitamin factor associated increased risk cholelithiasis,0
diet based adequate intake calcium mg per day containment animal protein salt decrease significantly urinary supersaturation calcium oxalate reduce relative risk stone recurrence hypercalciuric renal stone former,0
evidence association chocolate intake risk chronic disease inconclusive,0
tea drinking positive effect bone health may prevent treat osteoporosis especially older postmenopausal woman,0
there several report describing allergy hydrolyzed wheat product,1
fish oil rich eicosapentaenoic acid epa docosahexaenoic acid dha reduces disease activity patient cd raised laboratory marker inflammation healthy subject alters pbmc function,0
opioid drug widely used treat chronic pain misuse lead tolerance dependence addiction created significant public health problem,0
citrus fruit known beneficial health effect associated prevention metabolic syndrometype diabetes mainly attributed flavonoid,0
the intake milk milk product could increase risk ovarian carcinoma,1
although individual asymptomatic exposure certain food drug infection trigger acute hemolytic anemia,0
there little information association intake cholesterol egg major source dietary cholesterol risk cognitive decline general population carrier apolipoprotein apoe major risk factor dementia,0
osteoarthritis oa leading cause physical disability among aging population available drug able efficiently restore balance cartilage matrix synthesis degradation,0
previously identified nobiletin citrus peel natural compound possessing antidementia activity,0
longterm fish oil fo supplementation able improve alzheimer disease ad pathology,0
bakers exposed daily flour may susceptible immunologic occupational disease,1
epidemiological study presented inconsistent evidence correlation fishoriented dietary intake fdi risk cognitive decline,0
common bean associated antidiabetic effect due high content bioactive compound,0
tea consumption positive effect skeletal system prevents postmenopausal osteoporosis mainly inhibiting osteoclastogenesis,0
irondeficiency anemia ida major global public health problem iron fortifiers diet clearly needed prevention improvement ida human,0
using newly designed realtime reverse transcriptasepolymerase chain reaction assay specific nucleocapsid gene infectious bronchitis virus ibv turkey coronaviruses tcov coronaviruses identified intestinal sample collected diseased turkey flock,0
risk factor include male sex obesity hypertension alcohol intake diuretic use diet rich meat seafood chronic kidney disease diet heavy fructoserich food beverage member certain ethnic group including taiwanese pacific islander new zealand maori living highincome country,0
fruit vegetable consumption inversely related bladder cancer many study consistent association emerged intake related micronutrient reduced risk bladder cancer,0
breadfruit traditional staple crop pacific island potential improve worldwide food security mitigate diabetes,0
here identified zajoene sulfur containing compound isolated crushed garlic inhibitor colon cancer cell growth,0
almond kernel contain phytochemical positive health effect relation heart disease diabetes obesity,0
garlic allium sativum popular spice remedy variety ailment also known medicinal us antibiotic antithrombotic antineoplastic agent,0
ironfortified cereal ific contribute substantially preventing iron deficiency anemia maintaining adequate body iron status,0
diallyl disulfide dads major organosulphur compound present garlic antimitotic potential colon neoplastic lesion vivo colon tumour cell growth vitro,0
including garlic sativum onion cepa known oxidatively toxic canine erythrocyte resulting heinz body hemolytic anemia dog,1
spirulina platensis extract exhibited considerable anticancer effect,0
there evidence delaying introduction allergenic food including peanut egg fish beyond month prevents atopic disease,0
difficulty adhering recommended diet common problem individual diabetes mellitus dm,0
these result demonstrated developed immunoassay provided sensitive rapid accurate approach detection amd chicken employing mbs solid phase sabio signal amplification,0
among factor diet high fat carbohydrate content implicated obesity,1
therefore novel therapeutic strategy long investigated curcumin curcuma longa shown property prevent deleterious process involved neurodegenerative disease,0
caffeic acid ca shown neuroprotection alzheimer disease cerebral ischaemia however unclear whether ca confers neuroprotection alphasynucleininduced pd model,0
milk consumption accepted strategy building peak bone mass therefore may reduce risk osteoporosis,0
nuts whole grain fruit vegetable contain abundance phenolic compound terpenoids pigment natural antioxidant associated protection andor treatment chronic disease heart disease cancer diabetes hypertension well medical condition,0
fruit vegetable intake reported one significant protective factor development cardiovascular disease cvd,0
risk factor include hepatitis virus cirrhosis aflatoxincontaminated food alcohol diabetes,0
in control group isactest failed detect allergy sensitization caused dust mite shrimp anisakis seed storage protein,1
garlic constituent reported preventive effect colorectal cancer animal model,0
this particular priority resourceconstrained setting prevalence iron deficiency poor nutrition infection poor birth outcome high,0
flavanoids cocoa plant may ameliorate insulin resistance improving endothelial function altering glucose metabolism reducing oxidative stress,0
drinking coffee raise public health problem association coffee kidney disease unknown,0
in term nutrition diet high fat particularly saturated fat salt sugar shown associated innumerable incidence diet associated health disease,1
bovine respiratory disease brd major cause morbidity mortality beef cattle,0
an increased consumption vegetable fruit reduces risk hypertension coronary heart disease stroke cancer,0
improving overall household living condition increasing maternal education delaying childbearing introducing iron rich food six month age may reduce likelihood anaemia toddlerhood,0
due similarity human milk low allergenic property donkey milk long used alternative infant patient cow milk protein allergy cmpa,0
tobacco smoking occupational exposure aromatic amine two major established environmental risk factor bladder cancer,1
oryza sativa consumed globally staple food root used korean chinese medical supplement protection stomach lung amelioration vomiting fever,0
moderate consumption alcoholic beverage reduces risk dementia cognitive decline,0
epidemiological study shown consumption diet rich antioxidant antiinflammatory agent found fruit vegetable may lower risk developing agerelated neurodegenerative disease parkinson disease alzheimer disease,0
further waste product tropical fruit including mangosteen rind coffee pulp spent coffee ground provide option reduce metabolic syndrome,0
although grass pea belongs leguminoseae family allergic reaction flour rarely described,0
avocado soybean unsaponifiables asu proven safety effectiveness clinical study knee osteoarthritis oa however whether asu exerts structuremodifying effect still elucidated,0
urinary hippuric acid ha citrate represent useful biomarkers fruit vegetable fav intake nephrolithiasis,0
sword bean known traditional medicinal plant treat cancer sinus infection suppurative disease,0
fruit vegetable intake associated reduced risk cardiovascular disease,0
epidemeological well laboratory study shown garlic consumption reduces certain cancer incidence stomach colon mammary cervical etc,0
portion size certain food increasing dramatically recent year alongside obesity rate concurring phenomenon portion size effect consumed offered,1
natural product like ginger turmeric garlic onion cinnamon lemon neem basil black pepper scientifically proven therapeutic benefit acute respiratory tract infection including pulmonary fibrosis diffuse alveolar damage pneumonia acute respiratory distress syndrome well associated septic shock lung kidney injury symptom associated covid infection,0
paradoxically honolulu asia aging study reported increased risk cognitive impairment dementia marker high tofu soybean curd intake,1
previously supplementation seleniumrich brazil nut bertholletia excelsa shown potential reducing cognitive decline mci patient could prove safe effective nutritional approach early disease process slow decline,0
we observed significant positive association le healthy diet expressed higher fsamnps di asthma symptom score,1
alloxan alx foodadditive intaken daily flour cause diabetes genotoxicity inducing chromosomalaberration dnadamage,1
hydroxytyrosol acetate htac polyphenolic compound olive oil exerts antiinflammatory effect murine collageninduced arthritis,0
consumption soy food associated protection cardiometabolic disease mechanism incompletely understood,0
while pharmaceutical drug shown exhibit serious side effect bioactive compound plantbased functional food demonstrated active treatment hyperuricemia minimal side effect,0
potential predictor dental erosion gender age chronic use antidepressant proton pump inhibitor ppi diabetes mellitus body mass index heartburn acid regurgitation score chocolate intake reflux esophagitis hiatal hernia,0
the use turmeric derived root plant curcuma longa treatment different inflammatory disease described ayurveda traditional chinese medicine thousand year,0
hfcssweetened soda fruit drink apple juice highfructose juice associated asthma possibly high fructose glucose ratio underlying fructose malabsorption may contribute enteral formation proinflammatory advanced glycation end product bind receptor mediator asthma,1
finally limited epidemiological evidence available fruit vegetable consumption cognition generally supported protective role macronutrients cognitive decline dementia ad,0
cell culture study suggest phytoestrogens abundant soy product tempe tofu could protect cognitive decline,0
high fructose corn syrup hfcs sweetened soft drink intake linked asthma us highschoolers,1
the soluble dietary fiber mixed linked betadglucan cereal grain valuable component healthy diet reduces risk coronary disease diabetes,0
higher consumption fruit vegetable associated lower risk various chronic disease including coronary heart disease obesity certain cancer,0
vitamin ginger effective nausea vomiting early pregnancy,0
mulberry morus alba leaf widely used herbal tea prevent heat stroke,0
new symptom hypersensitivity caused chemotherapy drug monoclonal antibody biological agent suggested recognized anaphylaxis phenotype,1
in ovo vaccination herpesvirus turkey hvt recombinant hvt rhvt commonly used meattype chicken,0
evidence association mediterranean diet pregnancy childhood asthma allergy related outcome conflicting,0
flour mill worker high risk developing respiratory symptom due exposure flour dust working environment,1
milk dairy product may contribute prevention physical cognitive impairment,0
wheat one major crop grown processed consumed humankind associated intolerance notably coeliac disease allergy,1
it hypothesized decreased advanced glycation end product ages level could affect type diabetes mellitus tdm remission newly diagnosed patient consumption two healthy diet,0
nickel common cause contact allergy general population frequently detected allergen patient patch tested suspected allergic contact dermatitis acd,1
the extract ginkgo biloba leaf become popular plant medicine herbal supplement potential benefit alleviating symptom associated peripheral vascular disease dementia asthma tinnitus,0
although soy considered major food allergen along milk egg peanut fish wheat prevalence soy allergy pediatric population well defined,1
chocolate milk one commonly used nonfermentative dairy product due high level sucrose could lead diabetes tooth decay among child,1
thus antiinflammatory drug asymptomatic initial phase could slow ad progression provided enter brain,0
in case acquired cutis laxa associated neoplasm drug autoimmune disease,1
previously demonstrated isoalphaacids hopderived bitter component beer prevent cognitive impairment alzheimer disease mouse model,0
cvd prevented simple costeffective step smoking cessation normalizing body weight regular physical activity dietary change including decreasing saturated fat increasing intake vegetable fruit reducing sugar intake,0
other structurally homologous nutraceuticals derived red chili cinnamon clove black pepper ginger also exhibit effect obesity insulin resistance,0
occupational allergy component wheat flour main cause rhinitis asthma worker bakery similar activity,1
the consumption dairy product older people may reduce risk frailty especially high consumption lowfat milk yogurt may also reduce risk sarcopenia improving skeletal muscle mass addition nutrientrich dairy protein ricotta cheese habitual diet,0
excessive salt intake important risk factor disease hypertension stroke stomach cancer,1
the mediterranean diet md affect risk myocardial infarction longterm prognosis coronary event,1
in japan winter season clade highly pathogenic avian influenza virus hpaivs hn subtype caused outbreak chicken muscovy duck farm,0
sensitization wheat flour play important role development diagnosis baker asthma,1
activation steroidogenic enzyme cypa shown necessary development peanutinduced intestinal anaphylaxis il production allergic mouse,1
the mediterranean diet associated lower mortality lower risk cardiovascular disease cancer,0
the characteristic tree nut tns peanut pn allergy vary different region world,1
major component zingiber officinale previously reported ameliorate hyperglycemia type diabetic mouse,0
this study report effect almond consumption ua cad patient,0
this review highlight development allergy gastroenterology infectious disease neonatology nutrition oncology respiratory tract illness,0
in review discus clinical study evaluating effect fruit fruit juice intake hyperuricaemia gout propose potential mechanism fruit may influence urate level,0
xylitol potential cystic fibrosis treatment lower salt concentration airway surface liquid enhances innate immunity human airway,0
the judicious use milk yogurt could prevent high proportion human disease,0
transcriptome pathway analysis highlighted mitochondrial dysfunction altered fatty acid oxidation key molecular perturbation associated zileuton exposure suggested interindividual difference cytochrome metabolism glutathionemediated detoxification farnesoid receptor signaling may contribute zileutoninduced liver injury zili,0
home fortification micronutrient powder mnp shown reduce anaemia high overall acceptability adherence limited evidence west africa,0
thus obesity associated altered relationship food consumption hedonic response food reward well reduced satiety effect woman,0
the result indicate grape soybean green tea garlic olive pomegranate effective plant colon cancer,0
in subchronic oral toxicity data revealed several significant alteration food consumption water consumption protein excretion wbcs level tgs bun level absolute relative weight liver spleen lung,0
evidence support use glucosamine chondroitin symptomatic slowacting drug osteoarthritis sysadoas impact oa symptom diseasemodifying effect long term,0
no study far shown effect fruit vegetable intake mental disorder mexican americans mental illness important health issue,0
this genetic variation associated different plasma lipoprotein level different response diet lipidlowering therapy variable risk cardiovascular disease alzheimer disease,0
saturated fat added salt excessive energy drink consumption appear harmful patient rhythm disorder,1
recently demonstrated whey protein wp combined low dietary fiber improved lipemia risk factor cardiovascular disease subject abdominal obesity,0
consumption adequate amount folic acid woman pregnancy early pregnancy decrease risk pregnancy affected neural tube defect ntds common preventable type birth defect worldwide,0
increased olive oil consumption implicated reduction cardiovascular disease rheumatoid arthritis lesser extent variety cancer,0
this review summarizes mechanism effect dead sea salt hard water commercial baby cleanser oatmeal rice natural oil bathing additive treatment atopic dermatitis,0
coffee consumption associated significant decrease risk developing chronic disease parkinson disease diabetes type several type cancer eg colon liver,0
components ginger zingiber officinale extract described potential new drug candidate alzheimer disease ad able interact several molecular target related ad treatment,0
the association egg consumption total coronary heart disease chd stroke mortality poorly understood,0
recent evidence also suggested carnitine red meat precursor trimethylaminenoxide shown cause atherosclerosis may increase risk suffering cvd experimental animal,1
diets characterized high intake refined sugar salt animalderived protein fat low intake fruit vegetable associated higher risk ad perturb circadian modulation cortisol secretion associated poor sleep quality,1
therefore study present neuroprotective potential lemon tangerine peelsderived eos possibility exploration neuroactive agent alternative management alzheimer disease ad,0
exposure wheat flour guar gum wellknown cause occupational respiratory allergy among worker food processing industry,1
these result imply sequential extract honeybush tea particularly aqueous ethyl acetate extract may exhibit antioxidant potential also mediate antihyperglycemia activity inhibiting lipid carbohydrate digestion,0
shenzao jiannao oral liquid szjn traditional chinese preparation approved china food drug administration cfda used treatment insomnia mind fatigue present efficacy nourishing kidney,0
ginger exerts protective effect obesity complication,0
allium hirtifolium boiss astragalus hamosus mentioned iranian traditional medicine documentation therapy kind dementia feature symptom similar alzheimer disease ad,0
with famous seven countries study keys demonstrated first time population practicing mediterranean diet greeks southern italians showed low mortality rate ischemic heart disease compared people northern europe north america,0
myrciaria cauliflora jaboticaba edible fruit common brazil used treating respiratory disease including chronic tonsillitis asthma,0
although high intake plant food fruit vegetable whole grain nut legume recommended chronic disease prevention unclear optimal amount intake food whether specific subtypes particularly beneficial,0
inadequate diet may occur depressed individual prescribed ssris also associated decreased bmd,0
mediterranean diet supplemented olive oil nut prevents cardiovascular disease clinical study underlying mechanism incompletely understood,0
however ubiquitous white crystal sugar may lead osteoporosis increasing inflammation hyperinsulinemia increased renal acid load reduced calcium intake increased urinary calcium excretion,1
humoral fecal immunoglobulin iga response correlated protection nv however role breast milk iga nv infection associated diarrhea still unknown,0
abundant study highlighted protective effect docosahexaenoic acid dha form glycerolipids glycerophosphatides triglyceride dhaethyl ester dhaee alzheimer disease ad however eicosapentaenoic acid epa rarely implicated,0
younger woman use botanical urinary tract infection especially vaccinium macrocarpon cranberry evidence efficacy,0
in addition eicosanoylhydroxytryptamide eht naturally occurring component coffee bean modulates ppa methylation shown confer therapeutic benefit rodent model ad parkinson disease,0
red yeast rice food fermentation product widely used promote blood circulation remove blood stasis,0
aerosolized crab allergen suspected etiologic agent asthma among crabprocessing worker,1
in adult caucasian woman daily intake ml milk associated reduction fracture risk higher,0
high level consumption timesmonth fermented food doenjang chungkookjang kimchi fermented seafood makgeolli beer associated lower prevalence ad or confidence interval ci,0
the consumption natural polyphenolrich food cocoa particular related reduced risk cvd including coronary heart disease stroke,0
diets high salt leading risk death disability globally,1
evidence regarding health benefit oolong tea consumption accumulating tea polyphenols various pharmacological property anticancer antidiabetes effect,0
all diseased chick showed clinical sign infectious bronchitis including gasping coughing nasal discharge wet eye swollen sinus reduction food consumption weight gain,0
bredemolic acid ba isomer maslinic acid reported ameliorate intermediate hyperglycaemia found prediabetes however effect triterpene cardiovascular function yet determined,0
ginger zingiber officinale roscoe zingiberaceae documented ameliorate hyperlipidemia hyperglycemia oxidative stress inflammation,0
the article present data causally significant food allergen food additive cause development food allergy well information main food protein component involved formation crossreactivity,1
sesame oil herbal product used treat joint pain several traditional medicine,0
the tasmanian atlantic salmon salmo salar aquaculture industry remained relatively free major viral disease recent emergence pilchard orthomyxovirus pomv,0
black mulberry fruit traditionally used uyghur folk medicine prevention treatment cardiovascular disease southern xinjiang region china,0
in addition sucrose high fructose corn syrup fresh fruit also contain fructose suggesting patient hyperuricaemia gout might also avoid fresh fruit,1
in last decade several theory investigating cause neurodegenerative disease formulated condition risk factor contribute described gutbrain axis hypothesis stress unbalanced diet drug impact altering microbiota composition contributes dysbiosis,1
consumption extra virgin olive oil evoo major component mediterranean diet associated reduced incidence alzheimer disease ad,0
infectious bronchitis ib viral infection chicken respiratory tract cause substantial economic burden industry,0
we previously demonstrated isoalphaacids iaas hopderived bitter component beer improve memory impairment aged alzheimer disease mouse model,0
the evidence randomised controlled trial mediterranean diet nut andor native olive oil considerably reduces stroke risk respectively however risk myocardial infarction death,0
in french threecity study tenyear followup showed higher consumption olive oil associated lower risk death well protection cognitive decline stroke,0
ginger reportedly used management treatment alzheimer disease folklore medicine,0
dairy food application include use different enzyme protease lessen allergic property bovine milk product lipase improve flavor cheese,0
cigarette smoke secondhand passive smoke causally related asthma lung cancer,1
allium vegetable shown beneficial effect several disease including cancer,0
fruit vegetable fv intake recommended prevention coronary heart disease chd,0
infectious salmon anaemia isa serious viral disease farmed atlantic salmon salmo salar,0
the result showed fadv infection rate rate breeder duck almost twofold higher breeder chicken vs,0
in central nervous system cns extra virgin olive oil evoo produce interesting effect neurodegenerative disorder including alzheimer disease ad,0
beer consumption inversely associated risk kidney stone bottle beer consumed per day estimated reduce risk rr ci,0
glasshouse pathogenicity test avocado persea americana seedling confirmed calonectria ilicicola severe pathogen avocado causing stunting wilting seedling death within week inoculation,0
bovine mastitis continues leading cause heavy economic loss dairy industry public health hazard globally,0
the common food reported trigger oral ulcer eggplant melon walnut cantaloupe,1
consumption watermelon associated beneficial effect metabolism including reduction systolic blood pressure improved fasting blood glucose level change hepatic metabolite accumulation,0
piscine orthoreovirus prv cause heart skeletal muscle inflammation hsmi farmed atlantic salmon,0
apathy lower water food intake respiratory system disorder total mortality noted,0
grape extract ge contains various polyphenolic compound exerts protective effect lifestylerelated disease diabetes hypertension,0
salt notoriously blamed causing increase urinary excretion calcium thus considered risk factor osteoporosis,1
folic acid vitamin often associated inflammatory bowel disease since reduced overall folate concentration human body may lead development colorectal cancer megaloblastic anaemia,0
cinnamomum cassia cassia lauraceae family commonly used treating dyspepsia gastritis blood circulation inflammatory disease considered one fundamental herb traditional chinese medicine,0
milk often seen potential promotor atherosclerosis coronary heart disease source cholesterol saturated fatty acid,1
curcumin naturally occurring polyphenol found curcuma longa multiple therapeutic property antiinflammatory wound healing anticancer effect,0
in context commonly available fruit blueberry raspberry strawberry pomegranate shown promising result reducing pain inflammation experimental model human clinical study arthritis,0
the association obesity physical inactivity alcohol elevated blood pressure bp firmly established,0
we previously demonstrated consumption isoalphaacids iaa hopderived bitter compound beer prevents inflammation alzheimer disease pathology model mouse,0
allergic reaction wheat may caused ingestion wheat containing food inhalation flour bakers asthma,1
salt sodium chloride nacl commonly used readytoeat rte meat product biltong south african style dried beef product flavor enhanced moisture loss reduction microbial growth,1
food supplementation fiber mix guar gum chickpea flour represents promising approach reduce risk type diabetes mellitus tdm attenuating postprandial glycemia,0
maternal dietary intervention pregnancy fish oil high dose vitamin shown reduce incidence asthma wheeze offspring potentially microbial effect pregnancy early childhood,0
meat protein associated increase risk heart disease,1
oregano oil found specifically inhibit lentiviruses human simian immunodeficiency virus hiv siv irrespective virus tropism hepatitis virus adenovirus adv zika virus influenza hn virus,0
the result reported study show influence gender place residence smoking consumption alcohol arthroscopy surgery osteoporosis rheumatoid arthritis fe ni mo concentration studied structure knee joint,0
